Progressivo,Nominativo,Data,Gruppo,Presenza,Votazioni,Percentuale
32708.0,TURCI DANIELA,2013-07-12,PARTITO DEMOCRATICO,P,1.0,49.0
0.0,DONDARINI ROLANDO,2013-07-12,PARTITO DEMOCRATICO,A,0.0,0.0
16863.0,MEROLA VIRGINIO,2013-09-13,SINDACO,A,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-09-13,PARTITO DEMOCRATICO,P,0.0,0.0
29442.0,CRITELLI FRANCESCO,2013-09-13,PARTITO DEMOCRATICO,P,1.0,49.0
32746.0,LEMBI SIMONA,2013-09-13,PARTITO DEMOCRATICO,P,0.0,0.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-09-13,PARTITO DEMOCRATICO,A,0.0,0.0
15586.0,MARCHESINI ANGELO,2013-09-13,PARTITO DEMOCRATICO,P,0.0,0.0
9181.0,SANTI RAFFAELLA,2013-09-13,PARTITO DEMOCRATICO,A,0.0,0.0
32704.0,LAMA ROSSELLA,2013-09-13,PARTITO DEMOCRATICO,P,0.0,0.0
27410.0,FERRI MARIARAFFAELLA,2013-09-13,PARTITO DEMOCRATICO,P,0.0,0.0
27481.0,ZACCHIROLI BENEDETTO,2013-09-13,PARTITO DEMOCRATICO,P,0.0,0.0
32794.0,MIGNANI MARIANNA,2013-09-13,PARTITO DEMOCRATICO,P,1.0,49.0
22034.0,GHETTI MAURIZIO,2013-09-13,PARTITO DEMOCRATICO,P,0.0,0.0
33977.0,BENASSI MARZIA,2013-09-13,PARTITO DEMOCRATICO,P,1.0,49.0
33978.0,ERRANI FRANCESCO,2013-09-13,PARTITO DEMOCRATICO,P,1.0,49.0
27197.0,MELEGA CORRADO,2013-09-13,PARTITO DEMOCRATICO,P,1.0,49.0
9097.0,PETRELLA TOMMASO,2013-09-13,PARTITO DEMOCRATICO,P,1.0,49.0
33979.0,LA TORRE CATHY,2013-09-13,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
