Progressivo,Nominativo,Data,Gruppo,Presenza,Votazioni,Percentuale
8904.0,CARELLA DANIELE,2013-09-02,POPOLO DELLA LIBERTA,P,14.0,79.0
20144.0,GATTUSO PATRIZIO G.,2013-09-02,POPOLO DELLA LIBERTA,P,6.0,34.0
32719.0,BERNARDINI MANES,2013-09-02,LEGA NORD,P,14.0,79.0
33981.0,COCCONCELLI MIRKA,2013-09-02,LEGA NORD,P,14.0,79.0
33982.0,SCARANO PAOLA F.,2013-09-02,LEGA NORD,P,14.0,79.0
33983.0,BORGONZONI LUCIA,2013-09-02,LEGA NORD,A,0.0,0.0
33984.0,BUGANI MASSIMO,2013-09-02,MOVIMENTO 5 STELLE,P,14.0,79.0
32861.0,SALSI FEDERICA,2013-09-02,GRUPPO MISTO,P,14.0,79.0
33985.0,PIAZZA MARCO,2013-09-02,MOVIMENTO 5 STELLE,P,14.0,79.0
33986.0,ALDROVANDI STEFANO,2013-09-02,BOLOGNA 2016,P,14.0,79.0
32708.0,TURCI DANIELA,2013-09-02,PARTITO DEMOCRATICO,P,8.0,45.0
0.0,DONDARINI ROLANDO,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
16863.0,MEROLA VIRGINIO,2013-07-05,SINDACO,A,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-07-05,PARTITO DEMOCRATICO,P,0.0,0.0
29442.0,CRITELLI FRANCESCO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
32746.0,LEMBI SIMONA,2013-07-05,PARTITO DEMOCRATICO,A,0.0,0.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
15586.0,MARCHESINI ANGELO,2013-07-05,PARTITO DEMOCRATICO,P,0.0,0.0
9181.0,SANTI RAFFAELLA,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
32704.0,LAMA ROSSELLA,2013-07-05,PARTITO DEMOCRATICO,P,0.0,0.0
27410.0,FERRI MARIARAFFAELLA,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
27481.0,ZACCHIROLI BENEDETTO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
32794.0,MIGNANI MARIANNA,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
22034.0,GHETTI MAURIZIO,2013-07-05,PARTITO DEMOCRATICO,A,0.0,0.0
33977.0,BENASSI MARZIA,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
33978.0,ERRANI FRANCESCO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
27197.0,MELEGA CORRADO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
9097.0,PETRELLA TOMMASO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
33979.0,LA TORRE CATHY,2013-07-05,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
33980.0,PIERALISI MIRCO,2013-07-05,CON AMELIA PER BOLOGNA CON VENDOLA,A,0.0,0.0
26392.0,CIPRIANI LORENZO,2013-07-05,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
33987.0,SAZZINI LORENZO,2013-07-05,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
32714.0,CAVIANO PASQUALE,2013-07-05,CENTRO DEMOCRATICO,P,1.0,49.0
21843.0,LISEI MARCO,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
27208.0,TOMASSINI LORENZO,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
32712.0,FACCI MICHELE,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
27997.0,CASTALDINI VALENT.,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
8904.0,CARELLA DANIELE,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
20144.0,GATTUSO PATRIZIO G.,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
32719.0,BERNARDINI MANES,2013-07-05,LEGA NORD,P,1.0,49.0
33981.0,COCCONCELLI MIRKA,2013-07-05,LEGA NORD,P,1.0,49.0
33982.0,SCARANO PAOLA F.,2013-07-05,LEGA NORD,P,1.0,49.0
33983.0,BORGONZONI LUCIA,2013-07-05,LEGA NORD,P,0.0,0.0
33984.0,BUGANI MASSIMO,2013-07-05,MOVIMENTO 5 STELLE,P,0.0,0.0
32861.0,SALSI FEDERICA,2013-07-05,GRUPPO MISTO,P,0.0,0.0
33985.0,PIAZZA MARCO,2013-07-05,MOVIMENTO 5 STELLE,P,1.0,49.0
33986.0,ALDROVANDI STEFANO,2013-07-05,BOLOGNA 2016,P,1.0,49.0
32708.0,TURCI DANIELA,2013-07-05,PARTITO DEMOCRATICO,A,0.0,0.0
0.0,DONDARINI ROLANDO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
16863.0,MEROLA VIRGINIO,2013-09-06,SINDACO,A,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-09-06,PARTITO DEMOCRATICO,P,1.0,49.0
29442.0,CRITELLI FRANCESCO,2013-09-06,PARTITO DEMOCRATICO,P,1.0,49.0
32746.0,LEMBI SIMONA,2013-09-06,PARTITO DEMOCRATICO,P,0.0,0.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-09-06,PARTITO DEMOCRATICO,A,0.0,0.0
15586.0,MARCHESINI ANGELO,2013-09-06,PARTITO DEMOCRATICO,P,1.0,49.0
9181.0,SANTI RAFFAELLA,2013-09-06,PARTITO DEMOCRATICO,A,0.0,0.0
32704.0,LAMA ROSSELLA,2013-09-06,PARTITO DEMOCRATICO,P,0.0,0.0
27410.0,FERRI MARIARAFFAELLA,2013-09-06,PARTITO DEMOCRATICO,P,1.0,49.0
27481.0,ZACCHIROLI BENEDETTO,2013-09-06,PARTITO DEMOCRATICO,P,0.0,0.0
32794.0,MIGNANI MARIANNA,2013-09-06,PARTITO DEMOCRATICO,P,1.0,49.0
22034.0,GHETTI MAURIZIO,2013-09-06,PARTITO DEMOCRATICO,P,0.0,0.0
33977.0,BENASSI MARZIA,2013-09-06,PARTITO DEMOCRATICO,P,1.0,49.0
33978.0,ERRANI FRANCESCO,2013-09-06,PARTITO DEMOCRATICO,P,1.0,49.0
27197.0,MELEGA CORRADO,2013-09-06,PARTITO DEMOCRATICO,A,0.0,0.0
9097.0,PETRELLA TOMMASO,2013-09-06,PARTITO DEMOCRATICO,P,1.0,49.0
33979.0,LA TORRE CATHY,2013-09-06,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
33980.0,PIERALISI MIRCO,2013-09-06,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
26392.0,CIPRIANI LORENZO,2013-09-06,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
33987.0,SAZZINI LORENZO,2013-09-06,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
32714.0,CAVIANO PASQUALE,2013-09-06,CENTRO DEMOCRATICO,P,1.0,49.0
21843.0,LISEI MARCO,2013-09-06,POPOLO DELLA LIBERTA,P,1.0,49.0
27208.0,TOMASSINI LORENZO,2013-09-06,POPOLO DELLA LIBERTA,P,1.0,49.0
32712.0,FACCI MICHELE,2013-09-06,POPOLO DELLA LIBERTA,A,0.0,0.0
27997.0,CASTALDINI VALENT.,2013-09-06,POPOLO DELLA LIBERTA,P,1.0,49.0
8904.0,CARELLA DANIELE,2013-09-06,POPOLO DELLA LIBERTA,P,1.0,49.0
20144.0,GATTUSO PATRIZIO G.,2013-09-06,POPOLO DELLA LIBERTA,P,1.0,49.0
32719.0,BERNARDINI MANES,2013-09-06,LEGA NORD,P,1.0,49.0
33981.0,COCCONCELLI MIRKA,2013-09-06,LEGA NORD,P,0.0,0.0
33982.0,SCARANO PAOLA F.,2013-09-06,LEGA NORD,P,1.0,49.0
33983.0,BORGONZONI LUCIA,2013-09-06,LEGA NORD,A,0.0,0.0
33984.0,BUGANI MASSIMO,2013-09-06,MOVIMENTO 5 STELLE,P,0.0,0.0
32861.0,SALSI FEDERICA,2013-09-06,GRUPPO MISTO,P,0.0,0.0
33985.0,PIAZZA MARCO,2013-09-06,MOVIMENTO 5 STELLE,P,1.0,49.0
33986.0,ALDROVANDI STEFANO,2013-09-06,BOLOGNA 2016,P,1.0,49.0
32708.0,TURCI DANIELA,2013-09-06,PARTITO DEMOCRATICO,P,0.0,0.0
0.0,DONDARINI ROLANDO,2013-09-06,PARTITO DEMOCRATICO,P,1.0,49.0
16863.0,MEROLA VIRGINIO,2013-07-08,SINDACO,P,5.0,33.0
9076.0,MAZZANTI CLAUDIO,2013-07-08,PARTITO DEMOCRATICO,P,11.0,73.0
29442.0,CRITELLI FRANCESCO,2013-07-08,PARTITO DEMOCRATICO,P,12.0,80.0
32746.0,LEMBI SIMONA,2013-07-08,PARTITO DEMOCRATICO,P,11.0,73.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-07-08,PARTITO DEMOCRATICO,P,11.0,73.0
15586.0,MARCHESINI ANGELO,2013-07-08,PARTITO DEMOCRATICO,P,7.0,46.0
9181.0,SANTI RAFFAELLA,2013-07-08,PARTITO DEMOCRATICO,P,12.0,80.0
32704.0,LAMA ROSSELLA,2013-07-08,PARTITO DEMOCRATICO,P,10.0,66.0
27410.0,FERRI MARIARAFFAELLA,2013-07-08,PARTITO DEMOCRATICO,P,10.0,66.0
27481.0,ZACCHIROLI BENEDETTO,2013-07-08,PARTITO DEMOCRATICO,P,11.0,73.0
32794.0,MIGNANI MARIANNA,2013-07-08,PARTITO DEMOCRATICO,P,12.0,80.0
22034.0,GHETTI MAURIZIO,2013-07-08,PARTITO DEMOCRATICO,P,12.0,80.0
33977.0,BENASSI MARZIA,2013-07-08,PARTITO DEMOCRATICO,P,12.0,80.0
33978.0,ERRANI FRANCESCO,2013-07-08,PARTITO DEMOCRATICO,P,7.0,46.0
27197.0,MELEGA CORRADO,2013-07-08,PARTITO DEMOCRATICO,A,0.0,0.0
9097.0,PETRELLA TOMMASO,2013-07-08,PARTITO DEMOCRATICO,A,0.0,0.0
33979.0,LA TORRE CATHY,2013-07-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,7.0,46.0
33980.0,PIERALISI MIRCO,2013-07-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,10.0,66.0
26392.0,CIPRIANI LORENZO,2013-07-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,11.0,73.0
33987.0,SAZZINI LORENZO,2013-07-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,8.0,53.0
32714.0,CAVIANO PASQUALE,2013-07-08,CENTRO DEMOCRATICO,P,11.0,73.0
21843.0,LISEI MARCO,2013-07-08,POPOLO DELLA LIBERTA,P,10.0,66.0
27208.0,TOMASSINI LORENZO,2013-07-08,POPOLO DELLA LIBERTA,P,7.0,46.0
32712.0,FACCI MICHELE,2013-07-08,POPOLO DELLA LIBERTA,P,9.0,60.0
27997.0,CASTALDINI VALENT.,2013-07-08,POPOLO DELLA LIBERTA,P,10.0,66.0
8904.0,CARELLA DANIELE,2013-07-08,POPOLO DELLA LIBERTA,P,12.0,80.0
20144.0,GATTUSO PATRIZIO G.,2013-07-08,POPOLO DELLA LIBERTA,P,11.0,73.0
32719.0,BERNARDINI MANES,2013-07-08,LEGA NORD,P,11.0,73.0
33981.0,COCCONCELLI MIRKA,2013-07-08,LEGA NORD,P,12.0,80.0
33982.0,SCARANO PAOLA F.,2013-07-08,LEGA NORD,P,12.0,80.0
33983.0,BORGONZONI LUCIA,2013-07-08,LEGA NORD,P,9.0,60.0
33984.0,BUGANI MASSIMO,2013-07-08,MOVIMENTO 5 STELLE,P,12.0,80.0
32861.0,SALSI FEDERICA,2013-07-08,GRUPPO MISTO,P,7.0,46.0
33985.0,PIAZZA MARCO,2013-07-08,MOVIMENTO 5 STELLE,P,12.0,80.0
33986.0,ALDROVANDI STEFANO,2013-07-08,BOLOGNA 2016,P,10.0,66.0
32708.0,TURCI DANIELA,2013-07-08,PARTITO DEMOCRATICO,P,9.0,60.0
0.0,DONDARINI ROLANDO,2013-07-08,PARTITO DEMOCRATICO,P,7.0,46.0
16863.0,MEROLA VIRGINIO,2013-09-09,SINDACO,A,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-09-09,PARTITO DEMOCRATICO,P,10.0,80.0
29442.0,CRITELLI FRANCESCO,2013-09-09,PARTITO DEMOCRATICO,P,10.0,80.0
32746.0,LEMBI SIMONA,2013-09-09,PARTITO DEMOCRATICO,P,9.0,72.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-09-09,PARTITO DEMOCRATICO,A,0.0,0.0
15586.0,MARCHESINI ANGELO,2013-09-09,PARTITO DEMOCRATICO,P,8.0,64.0
9181.0,SANTI RAFFAELLA,2013-09-09,PARTITO DEMOCRATICO,A,0.0,0.0
32704.0,LAMA ROSSELLA,2013-09-09,PARTITO DEMOCRATICO,P,10.0,80.0
27410.0,FERRI MARIARAFFAELLA,2013-09-09,PARTITO DEMOCRATICO,P,9.0,72.0
27481.0,ZACCHIROLI BENEDETTO,2013-09-09,PARTITO DEMOCRATICO,P,9.0,72.0
32794.0,MIGNANI MARIANNA,2013-09-09,PARTITO DEMOCRATICO,P,10.0,80.0
22034.0,GHETTI MAURIZIO,2013-09-09,PARTITO DEMOCRATICO,P,9.0,72.0
33977.0,BENASSI MARZIA,2013-09-09,PARTITO DEMOCRATICO,P,9.0,72.0
33978.0,ERRANI FRANCESCO,2013-09-09,PARTITO DEMOCRATICO,P,7.0,56.0
27197.0,MELEGA CORRADO,2013-09-09,PARTITO DEMOCRATICO,P,9.0,72.0
9097.0,PETRELLA TOMMASO,2013-09-09,PARTITO DEMOCRATICO,P,10.0,80.0
33979.0,LA TORRE CATHY,2013-09-09,CON AMELIA PER BOLOGNA CON VENDOLA,A,0.0,0.0
33980.0,PIERALISI MIRCO,2013-09-09,CON AMELIA PER BOLOGNA CON VENDOLA,P,9.0,72.0
26392.0,CIPRIANI LORENZO,2013-09-09,CON AMELIA PER BOLOGNA CON VENDOLA,P,9.0,72.0
33987.0,SAZZINI LORENZO,2013-09-09,CON AMELIA PER BOLOGNA CON VENDOLA,P,9.0,72.0
32714.0,CAVIANO PASQUALE,2013-09-09,CENTRO DEMOCRATICO,P,9.0,72.0
21843.0,LISEI MARCO,2013-09-09,POPOLO DELLA LIBERTA,P,9.0,72.0
27208.0,TOMASSINI LORENZO,2013-09-09,POPOLO DELLA LIBERTA,P,9.0,72.0
32712.0,FACCI MICHELE,2013-09-09,POPOLO DELLA LIBERTA,A,0.0,0.0
27997.0,CASTALDINI VALENT.,2013-09-09,POPOLO DELLA LIBERTA,P,9.0,72.0
8904.0,CARELLA DANIELE,2013-09-09,POPOLO DELLA LIBERTA,P,10.0,80.0
20144.0,GATTUSO PATRIZIO G.,2013-09-09,POPOLO DELLA LIBERTA,P,10.0,80.0
32719.0,BERNARDINI MANES,2013-09-09,LEGA NORD,P,9.0,72.0
33981.0,COCCONCELLI MIRKA,2013-09-09,LEGA NORD,P,10.0,80.0
33982.0,SCARANO PAOLA F.,2013-09-09,LEGA NORD,P,9.0,72.0
33983.0,BORGONZONI LUCIA,2013-09-09,LEGA NORD,P,9.0,72.0
33984.0,BUGANI MASSIMO,2013-09-09,MOVIMENTO 5 STELLE,P,9.0,72.0
32861.0,SALSI FEDERICA,2013-09-09,GRUPPO MISTO,P,8.0,64.0
33985.0,PIAZZA MARCO,2013-09-09,MOVIMENTO 5 STELLE,P,10.0,80.0
33986.0,ALDROVANDI STEFANO,2013-09-09,BOLOGNA 2016,P,5.0,40.0
32708.0,TURCI DANIELA,2013-09-09,PARTITO DEMOCRATICO,A,0.0,0.0
0.0,DONDARINI ROLANDO,2013-09-09,PARTITO DEMOCRATICO,P,9.0,72.0
16863.0,MEROLA VIRGINIO,2013-07-12,SINDACO,A,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-07-12,PARTITO DEMOCRATICO,P,0.0,0.0
29442.0,CRITELLI FRANCESCO,2013-07-12,PARTITO DEMOCRATICO,A,0.0,0.0
32746.0,LEMBI SIMONA,2013-07-12,PARTITO DEMOCRATICO,P,1.0,49.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-07-12,PARTITO DEMOCRATICO,P,1.0,49.0
15586.0,MARCHESINI ANGELO,2013-07-12,PARTITO DEMOCRATICO,P,0.0,0.0
9181.0,SANTI RAFFAELLA,2013-07-12,PARTITO DEMOCRATICO,P,1.0,49.0
32704.0,LAMA ROSSELLA,2013-07-12,PARTITO DEMOCRATICO,P,0.0,0.0
27410.0,FERRI MARIARAFFAELLA,2013-07-12,PARTITO DEMOCRATICO,P,1.0,49.0
27481.0,ZACCHIROLI BENEDETTO,2013-07-12,PARTITO DEMOCRATICO,P,0.0,0.0
32794.0,MIGNANI MARIANNA,2013-07-12,PARTITO DEMOCRATICO,P,1.0,49.0
22034.0,GHETTI MAURIZIO,2013-07-12,PARTITO DEMOCRATICO,P,0.0,0.0
33977.0,BENASSI MARZIA,2013-07-12,PARTITO DEMOCRATICO,P,1.0,49.0
33978.0,ERRANI FRANCESCO,2013-07-12,PARTITO DEMOCRATICO,P,0.0,0.0
27197.0,MELEGA CORRADO,2013-07-12,PARTITO DEMOCRATICO,A,0.0,0.0
9097.0,PETRELLA TOMMASO,2013-07-12,PARTITO DEMOCRATICO,A,0.0,0.0
33979.0,LA TORRE CATHY,2013-07-12,CON AMELIA PER BOLOGNA CON VENDOLA,A,0.0,0.0
33980.0,PIERALISI MIRCO,2013-07-12,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
26392.0,CIPRIANI LORENZO,2013-07-12,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
33987.0,SAZZINI LORENZO,2013-07-12,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
32714.0,CAVIANO PASQUALE,2013-07-12,CENTRO DEMOCRATICO,P,1.0,49.0
21843.0,LISEI MARCO,2013-07-12,POPOLO DELLA LIBERTA,P,1.0,49.0
27208.0,TOMASSINI LORENZO,2013-07-12,POPOLO DELLA LIBERTA,P,1.0,49.0
32712.0,FACCI MICHELE,2013-07-12,POPOLO DELLA LIBERTA,P,1.0,49.0
27997.0,CASTALDINI VALENT.,2013-07-12,POPOLO DELLA LIBERTA,P,0.0,0.0
8904.0,CARELLA DANIELE,2013-07-12,POPOLO DELLA LIBERTA,P,1.0,49.0
20144.0,GATTUSO PATRIZIO G.,2013-07-12,POPOLO DELLA LIBERTA,P,0.0,0.0
32719.0,BERNARDINI MANES,2013-07-12,LEGA NORD,P,1.0,49.0
33981.0,COCCONCELLI MIRKA,2013-07-12,LEGA NORD,P,0.0,0.0
33982.0,SCARANO PAOLA F.,2013-07-12,LEGA NORD,P,0.0,0.0
33983.0,BORGONZONI LUCIA,2013-07-12,LEGA NORD,P,1.0,49.0
33984.0,BUGANI MASSIMO,2013-07-12,MOVIMENTO 5 STELLE,P,0.0,0.0
32861.0,SALSI FEDERICA,2013-07-12,GRUPPO MISTO,P,0.0,0.0
33985.0,PIAZZA MARCO,2013-07-12,MOVIMENTO 5 STELLE,P,0.0,0.0
33986.0,ALDROVANDI STEFANO,2013-07-12,BOLOGNA 2016,P,0.0,0.0
