Progressivo,Nominativo,Data,Gruppo Politico,Presenza,Num.Votazioni
8904,CARELLA DANIELE,2013-06-07T00:00:00Z,POPOLO DELLA LIBERTA,P,1
20144,GATTUSO PATRIZIO G.,2013-06-07T00:00:00Z,POPOLO DELLA LIBERTA,P,1
32719,BERNARDINI MANES,2013-06-07T00:00:00Z,LEGA NORD,A,0
33981,COCCONCELLI MIRKA,2013-06-07T00:00:00Z,LEGA NORD,P,1
33982,SCARANO PAOLA F.,2013-06-07T00:00:00Z,LEGA NORD,P,1
33983,BORGONZONI LUCIA,2013-06-07T00:00:00Z,LEGA NORD,P,0
33984,BUGANI MASSIMO,2013-06-07T00:00:00Z,MOVIMENTO 5 STELLE,P,1
32861,SALSI FEDERICA,2013-06-07T00:00:00Z,GRUPPO MISTO,P,0
33985,PIAZZA MARCO,2013-06-07T00:00:00Z,MOVIMENTO 5 STELLE,P,1
33986,ALDROVANDI STEFANO,2013-06-07T00:00:00Z,BOLOGNA 2016,P,1
32708,TURCI DANIELA,2013-06-07T00:00:00Z,PARTITO DEMOCRATICO,P,0
0,DONDARINI ROLANDO,2013-06-07T00:00:00Z,PARTITO DEMOCRATICO,P,0
16863,MEROLA VIRGINIO,2013-04-08T00:00:00Z,SINDACO,P,0
9076,MAZZANTI CLAUDIO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,6
29442,CRITELLI FRANCESCO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,8
32746,LEMBI SIMONA,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,7
27189,BARCELO LIZANA LEONARDO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,7
15586,MARCHESINI ANGELO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,3
9181,SANTI RAFFAELLA,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,8
32704,LAMA ROSSELLA,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,6
27410,FERRI MARIARAFFAELLA,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,8
27481,ZACCHIROLI BENEDETTO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,7
32794,MIGNANI MARIANNA,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,8
22034,GHETTI MAURIZIO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,8
33977,BENASSI MARZIA,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,8
33978,ERRANI FRANCESCO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,8
27197,MELEGA CORRADO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,7
9097,PETRELLA TOMMASO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,4
33979,LA TORRE CATHY,2013-04-08T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,7
33980,PIERALISI MIRCO,2013-04-08T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,6
26392,CIPRIANI LORENZO,2013-04-08T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,7
33987,SAZZINI LORENZO,2013-04-08T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0
32714,CAVIANO PASQUALE,2013-04-08T00:00:00Z,CENTRO DEMOCRATICO,P,8
21843,LISEI MARCO,2013-04-08T00:00:00Z,POPOLO DELLA LIBERTA,P,7
27208,TOMASSINI LORENZO,2013-04-08T00:00:00Z,POPOLO DELLA LIBERTA,P,8
32712,FACCI MICHELE,2013-04-08T00:00:00Z,POPOLO DELLA LIBERTA,P,8
27997,CASTALDINI VALENT.,2013-04-08T00:00:00Z,POPOLO DELLA LIBERTA,P,7
8904,CARELLA DANIELE,2013-04-08T00:00:00Z,POPOLO DELLA LIBERTA,P,8
20144,GATTUSO PATRIZIO G.,2013-04-08T00:00:00Z,POPOLO DELLA LIBERTA,P,3
32719,BERNARDINI MANES,2013-04-08T00:00:00Z,LEGA NORD,P,7
