Progressivo,Nominativo,Data,GruppoPolitico,Presenza,NumVotazioni,PercentualePresenza
33977,BENASSI MARZIA,2013-03-28T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
33978,ERRANI FRANCESCO,2013-03-28T00:00:00Z,PARTITO DEMOCRATICO,A,0,0  
27197,MELEGA CORRADO,2013-03-28T00:00:00Z,PARTITO DEMOCRATICO,A,0,0  
9097,PETRELLA TOMMASO,2013-03-28T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
33979,LA TORRE CATHY,2013-03-28T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0  
33980,PIERALISI MIRCO,2013-03-28T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0  
26392,CIPRIANI LORENZO,2013-03-28T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0  
33987,SAZZINI LORENZO,2013-03-28T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0  
32714,CAVIANO PASQUALE,2013-03-28T00:00:00Z,BOLOGNA RIFORMISTA E DEMOCRATICA,P,1,49 
21843,LISEI MARCO,2013-03-28T00:00:00Z,POPOLO DELLA LIBERTA,P,0,0  
27208,TOMASSINI LORENZO,2013-03-28T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
32712,FACCI MICHELE,2013-03-28T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
27997,CASTALDINI VALENT.,2013-03-28T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
8904,CARELLA DANIELE,2013-03-28T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
20144,GATTUSO PATRIZIO G.,2013-03-28T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
32719,BERNARDINI MANES,2013-03-28T00:00:00Z,LEGA NORD,P,1,49 
33981,COCCONCELLI MIRKA,2013-03-28T00:00:00Z,LEGA NORD,P,1,49 
33982,SCARANO PAOLA F.,2013-03-28T00:00:00Z,LEGA NORD,P,0,0  
33983,BORGONZONI LUCIA,2013-03-28T00:00:00Z,LEGA NORD,P,1,49 
33984,BUGANI MASSIMO,2013-03-28T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0  
32861,SALSI FEDERICA,2013-03-28T00:00:00Z,GRUPPO MISTO,P,0,0  
33985,PIAZZA MARCO,2013-03-28T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0  
33986,ALDROVANDI STEFANO,2013-03-28T00:00:00Z,BOLOGNA 2016,P,0,0  
32708,TURCI DANIELA,2013-03-28T00:00:00Z,PARTITO DEMOCRATICO,A,0,0  
0,DONDARINI ROLANDO,2013-03-28T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
16863,MEROLA VIRGINIO,2012-03-02T00:00:00Z,SINDACO,P,0,0  
9116,CEVENINI MAURIZIO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
9076,MAZZANTI CLAUDIO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,A,0,0  
29442,CRITELLI FRANCESCO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
32746,LEMBI SIMONA,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
27189,BARCELO LIZANA LEONARDO L,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
15586,MARCHESINI ANGELO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
18313,LO GIUDICE SERGIO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
9181,SANTI RAFFAELLA,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
32704,LAMA ROSSELLA,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
27410,FERRI MARIARAFFAELLA,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
27481,ZACCHIROLI BENEDETTO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
32794,MIGNANI MARIANNA,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
22034,GHETTI MAURIZIO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
33977,BENASSI MARZIA,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
33978,ERRANI FRANCESCO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
27197,MELEGA CORRADO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
9097,PETRELLA TOMMASO,2012-03-02T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
33979,LA TORRE CATHY,2012-03-02T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0  
33980,PIERALISI MIRCO,2012-03-02T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,1,49 
26392,CIPRIANI LORENZO,2012-03-02T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,1,49 
33987,SAZZINI LORENZO,2012-03-02T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,1,49 
32714,CAVIANO PASQUALE,2012-03-02T00:00:00Z,ITALIA DEI VALORI,P,1,49 
21843,LISEI MARCO,2012-03-02T00:00:00Z,POPOLO DELLA LIBERTA,A,0,0  
27208,TOMASSINI LORENZO,2012-03-02T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
32712,FACCI MICHELE,2012-03-02T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
27997,CASTALDINI VALENT.,2012-03-02T00:00:00Z,POPOLO DELLA LIBERTA,P,0,0  
8904,CARELLA DANIELE,2012-03-02T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
20144,GATTUSO PATRIZIO G.,2012-03-02T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
32719,BERNARDINI MANES,2012-03-02T00:00:00Z,LEGA NORD,P,1,49 
33981,COCCONCELLI MIRKA,2012-03-02T00:00:00Z,LEGA NORD,P,1,49 
33982,SCARANO PAOLA F.,2012-03-02T00:00:00Z,LEGA NORD,P,1,49 
33983,BORGONZONI LUCIA,2012-03-02T00:00:00Z,LEGA NORD,P,1,49 
33984,BUGANI MASSIMO,2012-03-02T00:00:00Z,MOVIMENTO 5 STELLE,P,1,49 
32861,SALSI FEDERICA,2012-03-02T00:00:00Z,MOVIMENTO 5 STELLE,P,1,49 
33985,PIAZZA MARCO,2012-03-02T00:00:00Z,MOVIMENTO 5 STELLE,P,1,49 
33986,ALDROVANDI STEFANO,2012-03-02T00:00:00Z,BOLOGNA 2016,A,0,0  
16863,MEROLA VIRGINIO,2012-02-03T00:00:00Z,SINDACO,A,0,0  
9116,CEVENINI MAURIZIO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
9076,MAZZANTI CLAUDIO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
29442,CRITELLI FRANCESCO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
32746,LEMBI SIMONA,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
27189,BARCELO LIZANA LEONARDO L,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
15586,MARCHESINI ANGELO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
18313,LO GIUDICE SERGIO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
9181,SANTI RAFFAELLA,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
32704,LAMA ROSSELLA,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
27410,FERRI MARIARAFFAELLA,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,A,0,0  
27481,ZACCHIROLI BENEDETTO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
32794,MIGNANI MARIANNA,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
22034,GHETTI MAURIZIO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
33977,BENASSI MARZIA,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
33978,ERRANI FRANCESCO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
27197,MELEGA CORRADO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
9097,PETRELLA TOMMASO,2012-02-03T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
33979,LA TORRE CATHY,2012-02-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0  
33980,PIERALISI MIRCO,2012-02-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,1,49 
26392,CIPRIANI LORENZO,2012-02-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0  
33987,SAZZINI LORENZO,2012-02-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0  
32714,CAVIANO PASQUALE,2012-02-03T00:00:00Z,ITALIA DEI VALORI,P,1,49 
21843,LISEI MARCO,2012-02-03T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
27208,TOMASSINI LORENZO,2012-02-03T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
32712,FACCI MICHELE,2012-02-03T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
27997,CASTALDINI VALENT.,2012-02-03T00:00:00Z,POPOLO DELLA LIBERTA,A,0,0  
8904,CARELLA DANIELE,2012-02-03T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
20144,GATTUSO PATRIZIO G.,2012-02-03T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
32719,BERNARDINI MANES,2012-02-03T00:00:00Z,LEGA NORD,A,0,0  
33981,COCCONCELLI MIRKA,2012-02-03T00:00:00Z,LEGA NORD,P,1,49 
33982,SCARANO PAOLA F.,2012-02-03T00:00:00Z,LEGA NORD,P,1,49 
33983,BORGONZONI LUCIA,2012-02-03T00:00:00Z,LEGA NORD,P,1,49 
33984,BUGANI MASSIMO,2012-02-03T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0  
32861,SALSI FEDERICA,2012-02-03T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0  
33985,PIAZZA MARCO,2012-02-03T00:00:00Z,MOVIMENTO 5 STELLE,P,1,49 
33986,ALDROVANDI STEFANO,2012-02-03T00:00:00Z,BOLOGNA 2016,P,0,0  
16863,MEROLA VIRGINIO,2012-03-05T00:00:00Z,SINDACO,P,1,8  
9116,CEVENINI MAURIZIO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
9076,MAZZANTI CLAUDIO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
29442,CRITELLI FRANCESCO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,8,64 
32746,LEMBI SIMONA,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
27189,BARCELO LIZANA LEONARDO L,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,9,72 
15586,MARCHESINI ANGELO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,2,16 
18313,LO GIUDICE SERGIO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
9181,SANTI RAFFAELLA,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
32704,LAMA ROSSELLA,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,8,64 
27410,FERRI MARIARAFFAELLA,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
27481,ZACCHIROLI BENEDETTO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,A,0,0  
32794,MIGNANI MARIANNA,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
22034,GHETTI MAURIZIO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
33977,BENASSI MARZIA,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,7,56 
33978,ERRANI FRANCESCO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
27197,MELEGA CORRADO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
9097,PETRELLA TOMMASO,2012-03-05T00:00:00Z,PARTITO DEMOCRATICO,P,10,80 
33979,LA TORRE CATHY,2012-03-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,4,32 
33980,PIERALISI MIRCO,2012-03-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,10,80 
26392,CIPRIANI LORENZO,2012-03-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,6,48 
33987,SAZZINI LORENZO,2012-03-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,10,80 
32714,CAVIANO PASQUALE,2012-03-05T00:00:00Z,ITALIA DEI VALORI,P,7,56 
21843,LISEI MARCO,2012-03-05T00:00:00Z,POPOLO DELLA LIBERTA,P,10,80 
27208,TOMASSINI LORENZO,2012-03-05T00:00:00Z,POPOLO DELLA LIBERTA,P,3,24 
32712,FACCI MICHELE,2012-03-05T00:00:00Z,POPOLO DELLA LIBERTA,P,10,80 
27997,CASTALDINI VALENT.,2012-03-05T00:00:00Z,POPOLO DELLA LIBERTA,P,10,80 
8904,CARELLA DANIELE,2012-03-05T00:00:00Z,POPOLO DELLA LIBERTA,P,10,80 
20144,GATTUSO PATRIZIO G.,2012-03-05T00:00:00Z,POPOLO DELLA LIBERTA,P,10,80 
32719,BERNARDINI MANES,2012-03-05T00:00:00Z,LEGA NORD,P,9,72 
33981,COCCONCELLI MIRKA,2012-03-05T00:00:00Z,LEGA NORD,P,10,80 
33982,SCARANO PAOLA F.,2012-03-05T00:00:00Z,LEGA NORD,P,10,80 
33983,BORGONZONI LUCIA,2012-03-05T00:00:00Z,LEGA NORD,P,7,56 
33984,BUGANI MASSIMO,2012-03-05T00:00:00Z,MOVIMENTO 5 STELLE,P,8,64 
32861,SALSI FEDERICA,2012-03-05T00:00:00Z,MOVIMENTO 5 STELLE,P,9,72 
33985,PIAZZA MARCO,2012-03-05T00:00:00Z,MOVIMENTO 5 STELLE,P,8,64 
33986,ALDROVANDI STEFANO,2012-03-05T00:00:00Z,BOLOGNA 2016,P,3,24 
16863,MEROLA VIRGINIO,2012-02-06T00:00:00Z,SINDACO,P,0,0  
9116,CEVENINI MAURIZIO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,16,72 
9076,MAZZANTI CLAUDIO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,15,68 
29442,CRITELLI FRANCESCO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,15,68 
32746,LEMBI SIMONA,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,16,72 
27189,BARCELO LIZANA LEONARDO L,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,17,77 
15586,MARCHESINI ANGELO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,15,68 
18313,LO GIUDICE SERGIO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,17,77 
9181,SANTI RAFFAELLA,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,17,77 
32704,LAMA ROSSELLA,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,17,77 
27410,FERRI MARIARAFFAELLA,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,16,72 
27481,ZACCHIROLI BENEDETTO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,17,77 
32794,MIGNANI MARIANNA,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,17,77 
22034,GHETTI MAURIZIO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,16,72 
33977,BENASSI MARZIA,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,17,77 
33978,ERRANI FRANCESCO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,17,77 
27197,MELEGA CORRADO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,16,72 
9097,PETRELLA TOMMASO,2012-02-06T00:00:00Z,PARTITO DEMOCRATICO,P,17,77 
33979,LA TORRE CATHY,2012-02-06T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,15,68 
33980,PIERALISI MIRCO,2012-02-06T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,16,72 
26392,CIPRIANI LORENZO,2012-02-06T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,16,72 
33987,SAZZINI LORENZO,2012-02-06T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,15,68 
32714,CAVIANO PASQUALE,2012-02-06T00:00:00Z,ITALIA DEI VALORI,A,0,0  
21843,LISEI MARCO,2012-02-06T00:00:00Z,POPOLO DELLA LIBERTA,P,14,63 
27208,TOMASSINI LORENZO,2012-02-06T00:00:00Z,POPOLO DELLA LIBERTA,P,16,72 
32712,FACCI MICHELE,2012-02-06T00:00:00Z,POPOLO DELLA LIBERTA,P,17,77 
27997,CASTALDINI VALENT.,2012-02-06T00:00:00Z,POPOLO DELLA LIBERTA,P,16,72 
8904,CARELLA DANIELE,2012-02-06T00:00:00Z,POPOLO DELLA LIBERTA,P,17,77 
20144,GATTUSO PATRIZIO G.,2012-02-06T00:00:00Z,POPOLO DELLA LIBERTA,P,14,63 
32719,BERNARDINI MANES,2012-02-06T00:00:00Z,LEGA NORD,P,11,50 
33981,COCCONCELLI MIRKA,2012-02-06T00:00:00Z,LEGA NORD,P,17,77 
33982,SCARANO PAOLA F.,2012-02-06T00:00:00Z,LEGA NORD,P,17,77 
33983,BORGONZONI LUCIA,2012-02-06T00:00:00Z,LEGA NORD,P,9,41 
33984,BUGANI MASSIMO,2012-02-06T00:00:00Z,MOVIMENTO 5 STELLE,P,16,72 
32861,SALSI FEDERICA,2012-02-06T00:00:00Z,MOVIMENTO 5 STELLE,P,16,72 
33985,PIAZZA MARCO,2012-02-06T00:00:00Z,MOVIMENTO 5 STELLE,P,17,77 
33986,ALDROVANDI STEFANO,2012-02-06T00:00:00Z,BOLOGNA 2016,P,14,63 
16863,MEROLA VIRGINIO,2012-01-09T00:00:00Z,SINDACO,P,0,0  
9116,CEVENINI MAURIZIO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,11,80 
9076,MAZZANTI CLAUDIO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,10,73 
29442,CRITELLI FRANCESCO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,11,80 
32746,LEMBI SIMONA,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,6,44 
27189,BARCELO LIZANA LEONARDO L,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,7,51 
15586,MARCHESINI ANGELO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,5,36 
18313,LO GIUDICE SERGIO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,10,73 
9181,SANTI RAFFAELLA,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,11,80 
32704,LAMA ROSSELLA,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,9,66 
27410,FERRI MARIARAFFAELLA,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,11,80 
27481,ZACCHIROLI BENEDETTO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,11,80 
32794,MIGNANI MARIANNA,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,10,73 
22034,GHETTI MAURIZIO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,10,73 
33977,BENASSI MARZIA,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,11,80 
33978,ERRANI FRANCESCO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,10,73 
27197,MELEGA CORRADO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,11,80 
9097,PETRELLA TOMMASO,2012-01-09T00:00:00Z,PARTITO DEMOCRATICO,P,11,80 
33979,LA TORRE CATHY,2012-01-09T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,10,73 
33980,PIERALISI MIRCO,2012-01-09T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,11,80 
26392,CIPRIANI LORENZO,2012-01-09T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,10,73 
33987,SAZZINI LORENZO,2012-01-09T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,8,58 
32714,CAVIANO PASQUALE,2012-01-09T00:00:00Z,ITALIA DEI VALORI,P,11,80 
21843,LISEI MARCO,2012-01-09T00:00:00Z,POPOLO DELLA LIBERTA,P,11,80 
27208,TOMASSINI LORENZO,2012-01-09T00:00:00Z,POPOLO DELLA LIBERTA,P,11,80 
32712,FACCI MICHELE,2012-01-09T00:00:00Z,POPOLO DELLA LIBERTA,P,11,80 
27997,CASTALDINI VALENT.,2012-01-09T00:00:00Z,POPOLO DELLA LIBERTA,P,10,73 
8904,CARELLA DANIELE,2012-01-09T00:00:00Z,POPOLO DELLA LIBERTA,P,11,80 
20144,GATTUSO PATRIZIO G.,2012-01-09T00:00:00Z,POPOLO DELLA LIBERTA,P,8,58 
32719,BERNARDINI MANES,2012-01-09T00:00:00Z,LEGA NORD,P,11,80 
33981,COCCONCELLI MIRKA,2012-01-09T00:00:00Z,LEGA NORD,P,11,80 
33982,SCARANO PAOLA F.,2012-01-09T00:00:00Z,LEGA NORD,P,11,80 
33983,BORGONZONI LUCIA,2012-01-09T00:00:00Z,LEGA NORD,P,7,51 
33984,BUGANI MASSIMO,2012-01-09T00:00:00Z,MOVIMENTO 5 STELLE,P,11,80 
32861,SALSI FEDERICA,2012-01-09T00:00:00Z,MOVIMENTO 5 STELLE,P,11,80 
33985,PIAZZA MARCO,2012-01-09T00:00:00Z,MOVIMENTO 5 STELLE,P,11,80 
33986,ALDROVANDI STEFANO,2012-01-09T00:00:00Z,BOLOGNA 2016,P,8,58 
16863,MEROLA VIRGINIO,2012-03-09T00:00:00Z,SINDACO,A,0,0  
9116,CEVENINI MAURIZIO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
9076,MAZZANTI CLAUDIO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
29442,CRITELLI FRANCESCO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
32746,LEMBI SIMONA,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
27189,BARCELO LIZANA LEONARDO L,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
15586,MARCHESINI ANGELO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
18313,LO GIUDICE SERGIO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
9181,SANTI RAFFAELLA,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
32704,LAMA ROSSELLA,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
27410,FERRI MARIARAFFAELLA,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
27481,ZACCHIROLI BENEDETTO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
32794,MIGNANI MARIANNA,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
22034,GHETTI MAURIZIO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
33977,BENASSI MARZIA,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,A,0,0  
33978,ERRANI FRANCESCO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
27197,MELEGA CORRADO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
9097,PETRELLA TOMMASO,2012-03-09T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
33979,LA TORRE CATHY,2012-03-09T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0  
33980,PIERALISI MIRCO,2012-03-09T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0  
26392,CIPRIANI LORENZO,2012-03-09T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,1,49 
33987,SAZZINI LORENZO,2012-03-09T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,1,49 
32714,CAVIANO PASQUALE,2012-03-09T00:00:00Z,ITALIA DEI VALORI,P,1,49 
21843,LISEI MARCO,2012-03-09T00:00:00Z,POPOLO DELLA LIBERTA,P,0,0  
27208,TOMASSINI LORENZO,2012-03-09T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
32712,FACCI MICHELE,2012-03-09T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
27997,CASTALDINI VALENT.,2012-03-09T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
8904,CARELLA DANIELE,2012-03-09T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
20144,GATTUSO PATRIZIO G.,2012-03-09T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49 
32719,BERNARDINI MANES,2012-03-09T00:00:00Z,LEGA NORD,P,1,49 
33981,COCCONCELLI MIRKA,2012-03-09T00:00:00Z,LEGA NORD,P,1,49 
33982,SCARANO PAOLA F.,2012-03-09T00:00:00Z,LEGA NORD,P,1,49 
33983,BORGONZONI LUCIA,2012-03-09T00:00:00Z,LEGA NORD,P,1,49 
33984,BUGANI MASSIMO,2012-03-09T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0  
32861,SALSI FEDERICA,2012-03-09T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0  
33985,PIAZZA MARCO,2012-03-09T00:00:00Z,MOVIMENTO 5 STELLE,P,1,49 
33986,ALDROVANDI STEFANO,2012-03-09T00:00:00Z,BOLOGNA 2016,P,1,49 
16863,MEROLA VIRGINIO,2012-02-10T00:00:00Z,SINDACO,A,0,0  
9116,CEVENINI MAURIZIO,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
9076,MAZZANTI CLAUDIO,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
29442,CRITELLI FRANCESCO,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
32746,LEMBI SIMONA,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
27189,BARCELO LIZANA LEONARDO L,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
15586,MARCHESINI ANGELO,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
18313,LO GIUDICE SERGIO,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
9181,SANTI RAFFAELLA,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
32704,LAMA ROSSELLA,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
27410,FERRI MARIARAFFAELLA,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,0,0  
27481,ZACCHIROLI BENEDETTO,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
32794,MIGNANI MARIANNA,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
22034,GHETTI MAURIZIO,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,A,0,0  
33977,BENASSI MARZIA,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
33978,ERRANI FRANCESCO,2012-02-10T00:00:00Z,PARTITO DEMOCRATICO,P,1,49 
