Progressivo,Nominativo,Data,GruppoPolitico,Presenza,NumVotazioni,PercentualePresenza
27208,TOMASSINI LORENZO,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
32712,FACCI MICHELE,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
27997,CASTALDINI VALENT.,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
8904,CARELLA DANIELE,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
20144,GATTUSO PATRIZIO G.,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
32719,BERNARDINI MANES,2012-11-05T00:00:00Z,LEGA NORD,P,0,0
33981,COCCONCELLI MIRKA,2012-11-05T00:00:00Z,LEGA NORD,P,1,49
33982,SCARANO PAOLA F.,2012-11-05T00:00:00Z,LEGA NORD,P,1,49
33983,BORGONZONI LUCIA,2012-11-05T00:00:00Z,LEGA NORD,P,1,49
33984,BUGANI MASSIMO,2012-11-05T00:00:00Z,MOVIMENTO 5 STELLE,P,1,49
32861,SALSI FEDERICA,2012-11-05T00:00:00Z,MOVIMENTO 5 STELLE,A,0,0
33985,PIAZZA MARCO,2012-11-05T00:00:00Z,MOVIMENTO 5 STELLE,A,0,0
33986,ALDROVANDI STEFANO,2012-11-05T00:00:00Z,BOLOGNA 2016,A,0,0
32708,TURCI DANIELA,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
16863,MEROLA VIRGINIO,2012-12-03T00:00:00Z,SINDACO,A,0,0
9116,CEVENINI MAURIZIO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
9076,MAZZANTI CLAUDIO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,11,80
29442,CRITELLI FRANCESCO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,10,73
32746,LEMBI SIMONA,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,11,80
27189,BARCELO LIZANA LEONARDO L,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,10,73
15586,MARCHESINI ANGELO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,10,73
18313,LO GIUDICE SERGIO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,10,73
9181,SANTI RAFFAELLA,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,3,22
32704,LAMA ROSSELLA,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,11,80
27410,FERRI MARIARAFFAELLA,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
27481,ZACCHIROLI BENEDETTO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,10,73
32794,MIGNANI MARIANNA,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,11,80
22034,GHETTI MAURIZIO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,10,73
33977,BENASSI MARZIA,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,11,80
33978,ERRANI FRANCESCO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,10,73
27197,MELEGA CORRADO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,11,80
9097,PETRELLA TOMMASO,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,11,80
33979,LA TORRE CATHY,2012-12-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,8,58
33980,PIERALISI MIRCO,2012-12-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,10,73
26392,CIPRIANI LORENZO,2012-12-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0
33987,SAZZINI LORENZO,2012-12-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0
32714,CAVIANO PASQUALE,2012-12-03T00:00:00Z,ITALIA DEI VALORI,P,11,80
21843,LISEI MARCO,2012-12-03T00:00:00Z,POPOLO DELLA LIBERTA,P,10,73
27208,TOMASSINI LORENZO,2012-12-03T00:00:00Z,POPOLO DELLA LIBERTA,P,6,44
32712,FACCI MICHELE,2012-12-03T00:00:00Z,POPOLO DELLA LIBERTA,P,11,80
27997,CASTALDINI VALENT.,2012-12-03T00:00:00Z,POPOLO DELLA LIBERTA,A,0,0
8904,CARELLA DANIELE,2012-12-03T00:00:00Z,POPOLO DELLA LIBERTA,P,11,80
20144,GATTUSO PATRIZIO G.,2012-12-03T00:00:00Z,POPOLO DELLA LIBERTA,P,10,73
32719,BERNARDINI MANES,2012-12-03T00:00:00Z,LEGA NORD,A,0,0
33981,COCCONCELLI MIRKA,2012-12-03T00:00:00Z,LEGA NORD,P,10,73
33982,SCARANO PAOLA F.,2012-12-03T00:00:00Z,LEGA NORD,P,10,73
33983,BORGONZONI LUCIA,2012-12-03T00:00:00Z,LEGA NORD,A,0,0
33984,BUGANI MASSIMO,2012-12-03T00:00:00Z,MOVIMENTO 5 STELLE,P,10,73
32861,SALSI FEDERICA,2012-12-03T00:00:00Z,MOVIMENTO 5 STELLE,P,8,58
33985,PIAZZA MARCO,2012-12-03T00:00:00Z,MOVIMENTO 5 STELLE,P,10,73
33986,ALDROVANDI STEFANO,2012-12-03T00:00:00Z,BOLOGNA 2016,P,7,51
32708,TURCI DANIELA,2012-12-03T00:00:00Z,PARTITO DEMOCRATICO,P,8,58
16863,MEROLA VIRGINIO,2012-10-05T00:00:00Z,SINDACO,A,0,0
9116,CEVENINI MAURIZIO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
9076,MAZZANTI CLAUDIO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
29442,CRITELLI FRANCESCO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
32746,LEMBI SIMONA,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
27189,BARCELO LIZANA LEONARDO L,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
15586,MARCHESINI ANGELO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
18313,LO GIUDICE SERGIO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
9181,SANTI RAFFAELLA,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
32704,LAMA ROSSELLA,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
27410,FERRI MARIARAFFAELLA,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
27481,ZACCHIROLI BENEDETTO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
32794,MIGNANI MARIANNA,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
22034,GHETTI MAURIZIO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
33977,BENASSI MARZIA,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
33978,ERRANI FRANCESCO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
27197,MELEGA CORRADO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
9097,PETRELLA TOMMASO,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
33979,LA TORRE CATHY,2012-10-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0
33980,PIERALISI MIRCO,2012-10-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0
26392,CIPRIANI LORENZO,2012-10-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0
33987,SAZZINI LORENZO,2012-10-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,1,49
32714,CAVIANO PASQUALE,2012-10-05T00:00:00Z,ITALIA DEI VALORI,P,1,49
21843,LISEI MARCO,2012-10-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
27208,TOMASSINI LORENZO,2012-10-05T00:00:00Z,POPOLO DELLA LIBERTA,A,0,0
32712,FACCI MICHELE,2012-10-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
27997,CASTALDINI VALENT.,2012-10-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
8904,CARELLA DANIELE,2012-10-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
20144,GATTUSO PATRIZIO G.,2012-10-05T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
32719,BERNARDINI MANES,2012-10-05T00:00:00Z,LEGA NORD,A,0,0
33981,COCCONCELLI MIRKA,2012-10-05T00:00:00Z,LEGA NORD,P,1,49
33982,SCARANO PAOLA F.,2012-10-05T00:00:00Z,LEGA NORD,P,1,49
33983,BORGONZONI LUCIA,2012-10-05T00:00:00Z,LEGA NORD,P,1,49
33984,BUGANI MASSIMO,2012-10-05T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0
32861,SALSI FEDERICA,2012-10-05T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0
33985,PIAZZA MARCO,2012-10-05T00:00:00Z,MOVIMENTO 5 STELLE,P,1,49
33986,ALDROVANDI STEFANO,2012-10-05T00:00:00Z,BOLOGNA 2016,A,0,0
32708,TURCI DANIELA,2012-10-05T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
16863,MEROLA VIRGINIO,2012-11-05T00:00:00Z,SINDACO,A,0,0
9116,CEVENINI MAURIZIO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
9076,MAZZANTI CLAUDIO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,13,79
29442,CRITELLI FRANCESCO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,13,79
32746,LEMBI SIMONA,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,12,73
27189,BARCELO LIZANA LEONARDO L,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,13,79
15586,MARCHESINI ANGELO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,12,73
18313,LO GIUDICE SERGIO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,13,79
9181,SANTI RAFFAELLA,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
32704,LAMA ROSSELLA,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,9,55
27410,FERRI MARIARAFFAELLA,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,13,79
27481,ZACCHIROLI BENEDETTO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,12,73
32794,MIGNANI MARIANNA,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,13,79
22034,GHETTI MAURIZIO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,13,79
33977,BENASSI MARZIA,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,13,79
