"Progressivo";"Nominativo";"Data Seduta";"Gruppo Politico";"Presenza";"Num.Votazioni";"Percentuale presenza alle votazioni";"Note"
"33984";"BUGANI MASSIMO";"08/03/2013";"MOVIMENTO 5 STELLE";"P";0;"0  ";
"32861";"SALSI FEDERICA";"08/03/2013";"GRUPPO MISTO";"P";0;"0  ";
"33985";"PIAZZA MARCO";"08/03/2013";"MOVIMENTO 5 STELLE";"P";1;"49 ";
"33986";"ALDROVANDI STEFANO";"08/03/2013";"BOLOGNA 2016";"P";0;"0  ";
"32708";"TURCI DANIELA";"08/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"16863";"MEROLA VIRGINIO";"11/01/2013";"SINDACO";"A";0;"0  ";
"9076";"MAZZANTI CLAUDIO";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"29442";"CRITELLI FRANCESCO";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32746";"LEMBI SIMONA";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"15586";"MARCHESINI ANGELO";"11/01/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"18313";"LO GIUDICE SERGIO";"11/01/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"9181";"SANTI RAFFAELLA";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32704";"LAMA ROSSELLA";"11/01/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"27410";"FERRI MARIARAFFAELLA";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27481";"ZACCHIROLI BENEDETTO";"11/01/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"32794";"MIGNANI MARIANNA";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"22034";"GHETTI MAURIZIO";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33977";"BENASSI MARZIA";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33978";"ERRANI FRANCESCO";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27197";"MELEGA CORRADO";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"9097";"PETRELLA TOMMASO";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33979";"LA TORRE CATHY";"11/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33980";"PIERALISI MIRCO";"11/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;"49 ";
"26392";"CIPRIANI LORENZO";"11/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33987";"SAZZINI LORENZO";"11/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"32714";"CAVIANO PASQUALE";"11/01/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";1;"49 ";
"21843";"LISEI MARCO";"11/01/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"27208";"TOMASSINI LORENZO";"11/01/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32712";"FACCI MICHELE";"11/01/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"27997";"CASTALDINI VALENT.";"11/01/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"8904";"CARELLA DANIELE";"11/01/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"20144";"GATTUSO PATRIZIO G.";"11/01/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"32719";"BERNARDINI MANES";"11/01/2013";"LEGA NORD";"P";0;"0  ";
"33981";"COCCONCELLI MIRKA";"11/01/2013";"LEGA NORD";"P";1;"49 ";
"33982";"SCARANO PAOLA F.";"11/01/2013";"LEGA NORD";"P";1;"49 ";
"33983";"BORGONZONI LUCIA";"11/01/2013";"LEGA NORD";"P";0;"0  ";
"33984";"BUGANI MASSIMO";"11/01/2013";"MOVIMENTO 5 STELLE";"P";0;"0  ";
"32861";"SALSI FEDERICA";"11/01/2013";"GRUPPO MISTO";"P";1;"49 ";
"33985";"PIAZZA MARCO";"11/01/2013";"MOVIMENTO 5 STELLE";"P";0;"0  ";
"33986";"ALDROVANDI STEFANO";"11/01/2013";"BOLOGNA 2016";"P";1;"49 ";
"32708";"TURCI DANIELA";"11/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"16863";"MEROLA VIRGINIO";"11/02/2013";"SINDACO";"P";1;"10 ";
"9076";"MAZZANTI CLAUDIO";"11/02/2013";"PARTITO DEMOCRATICO";"P";5;"50 ";
"29442";"CRITELLI FRANCESCO";"11/02/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"32746";"LEMBI SIMONA";"11/02/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"11/02/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"15586";"MARCHESINI ANGELO";"11/02/2013";"PARTITO DEMOCRATICO";"P";2;"20 ";
"18313";"LO GIUDICE SERGIO";"11/02/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"9181";"SANTI RAFFAELLA";"11/02/2013";"PARTITO DEMOCRATICO";"P";2;"20 ";
"32704";"LAMA ROSSELLA";"11/02/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"27410";"FERRI MARIARAFFAELLA";"11/02/2013";"PARTITO DEMOCRATICO";"P";6;"60 ";
"27481";"ZACCHIROLI BENEDETTO";"11/02/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"32794";"MIGNANI MARIANNA";"11/02/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"22034";"GHETTI MAURIZIO";"11/02/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"33977";"BENASSI MARZIA";"11/02/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"33978";"ERRANI FRANCESCO";"11/02/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"27197";"MELEGA CORRADO";"11/02/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"9097";"PETRELLA TOMMASO";"11/02/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"33979";"LA TORRE CATHY";"11/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";2;"20 ";
"33980";"PIERALISI MIRCO";"11/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";6;"60 ";
"26392";"CIPRIANI LORENZO";"11/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";4;"40 ";
"33987";"SAZZINI LORENZO";"11/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";4;"40 ";
"32714";"CAVIANO PASQUALE";"11/02/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"A";0;"0  ";
"21843";"LISEI MARCO";"11/02/2013";"POPOLO DELLA LIBERTA'";"P";7;"70 ";
"27208";"TOMASSINI LORENZO";"11/02/2013";"POPOLO DELLA LIBERTA'";"P";7;"70 ";
"32712";"FACCI MICHELE";"11/02/2013";"POPOLO DELLA LIBERTA'";"A";0;"0  ";
"27997";"CASTALDINI VALENT.";"11/02/2013";"POPOLO DELLA LIBERTA'";"P";6;"60 ";
"8904";"CARELLA DANIELE";"11/02/2013";"POPOLO DELLA LIBERTA'";"P";7;"70 ";
"20144";"GATTUSO PATRIZIO G.";"11/02/2013";"POPOLO DELLA LIBERTA'";"P";8;"80 ";
"32719";"BERNARDINI MANES";"11/02/2013";"LEGA NORD";"P";5;"50 ";
"33981";"COCCONCELLI MIRKA";"11/02/2013";"LEGA NORD";"P";5;"50 ";
"33982";"SCARANO PAOLA F.";"11/02/2013";"LEGA NORD";"P";7;"70 ";
"33983";"BORGONZONI LUCIA";"11/02/2013";"LEGA NORD";"P";7;"70 ";
"33984";"BUGANI MASSIMO";"11/02/2013";"MOVIMENTO 5 STELLE";"P";8;"80 ";
"32861";"SALSI FEDERICA";"11/02/2013";"GRUPPO MISTO";"P";7;"70 ";
"33985";"PIAZZA MARCO";"11/02/2013";"MOVIMENTO 5 STELLE";"P";7;"70 ";
"33986";"ALDROVANDI STEFANO";"11/02/2013";"BOLOGNA 2016";"A";0;"0  ";
"32708";"TURCI DANIELA";"11/02/2013";"PARTITO DEMOCRATICO";"P";1;"10 ";
"16863";"MEROLA VIRGINIO";"11/03/2013";"SINDACO";"P";0;"0  ";
"9076";"MAZZANTI CLAUDIO";"11/03/2013";"PARTITO DEMOCRATICO";"P";6;"60 ";
"29442";"CRITELLI FRANCESCO";"11/03/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"32746";"LEMBI SIMONA";"11/03/2013";"PARTITO DEMOCRATICO";"P";6;"60 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"11/03/2013";"PARTITO DEMOCRATICO";"P";6;"60 ";
"15586";"MARCHESINI ANGELO";"11/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"18313";"LO GIUDICE SERGIO";"11/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"9181";"SANTI RAFFAELLA";"11/03/2013";"PARTITO DEMOCRATICO";"P";6;"60 ";
"32704";"LAMA ROSSELLA";"11/03/2013";"PARTITO DEMOCRATICO";"P";3;"30 ";
"27410";"FERRI MARIARAFFAELLA";"11/03/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"27481";"ZACCHIROLI BENEDETTO";"11/03/2013";"PARTITO DEMOCRATICO";"P";6;"60 ";
"32794";"MIGNANI MARIANNA";"11/03/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"22034";"GHETTI MAURIZIO";"11/03/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"33977";"BENASSI MARZIA";"11/03/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"33978";"ERRANI FRANCESCO";"11/03/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"27197";"MELEGA CORRADO";"11/03/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"9097";"PETRELLA TOMMASO";"11/03/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"33979";"LA TORRE CATHY";"11/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";4;"40 ";
"33980";"PIERALISI MIRCO";"11/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;"70 ";
"26392";"CIPRIANI LORENZO";"11/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";6;"60 ";
"33987";"SAZZINI LORENZO";"11/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";3;"30 ";
"32714";"CAVIANO PASQUALE";"11/03/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";7;"70 ";
"21843";"LISEI MARCO";"11/03/2013";"POPOLO DELLA LIBERTA'";"P";7;"70 ";
"27208";"TOMASSINI LORENZO";"11/03/2013";"POPOLO DELLA LIBERTA'";"P";6;"60 ";
"32712";"FACCI MICHELE";"11/03/2013";"POPOLO DELLA LIBERTA'";"P";3;"30 ";
"27997";"CASTALDINI VALENT.";"11/03/2013";"POPOLO DELLA LIBERTA'";"P";7;"70 ";
"8904";"CARELLA DANIELE";"11/03/2013";"POPOLO DELLA LIBERTA'";"P";7;"70 ";
"20144";"GATTUSO PATRIZIO G.";"11/03/2013";"POPOLO DELLA LIBERTA'";"P";7;"70 ";
"32719";"BERNARDINI MANES";"11/03/2013";"LEGA NORD";"A";0;"0  ";
"33981";"COCCONCELLI MIRKA";"11/03/2013";"LEGA NORD";"P";1;"10 ";
"33982";"SCARANO PAOLA F.";"11/03/2013";"LEGA NORD";"P";7;"70 ";
"33983";"BORGONZONI LUCIA";"11/03/2013";"LEGA NORD";"P";4;"40 ";
"33984";"BUGANI MASSIMO";"11/03/2013";"MOVIMENTO 5 STELLE";"P";6;"60 ";
"32861";"SALSI FEDERICA";"11/03/2013";"GRUPPO MISTO";"P";6;"60 ";
"33985";"PIAZZA MARCO";"11/03/2013";"MOVIMENTO 5 STELLE";"P";7;"70 ";
"33986";"ALDROVANDI STEFANO";"11/03/2013";"BOLOGNA 2016";"P";7;"70 ";
"32708";"TURCI DANIELA";"11/03/2013";"PARTITO DEMOCRATICO";"P";3;"30 ";
"16863";"MEROLA VIRGINIO";"14/01/2013";"SINDACO";"P";1;"10 ";
"9076";"MAZZANTI CLAUDIO";"14/01/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"29442";"CRITELLI FRANCESCO";"14/01/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"32746";"LEMBI SIMONA";"14/01/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"14/01/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"15586";"MARCHESINI ANGELO";"14/01/2013";"PARTITO DEMOCRATICO";"P";5;"50 ";
"18313";"LO GIUDICE SERGIO";"14/01/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"9181";"SANTI RAFFAELLA";"14/01/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"32704";"LAMA ROSSELLA";"14/01/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"27410";"FERRI MARIARAFFAELLA";"14/01/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"27481";"ZACCHIROLI BENEDETTO";"14/01/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"32794";"MIGNANI MARIANNA";"14/01/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"22034";"GHETTI MAURIZIO";"14/01/2013";"PARTITO DEMOCRATICO";"P";7;"70 ";
"33977";"BENASSI MARZIA";"14/01/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"33978";"ERRANI FRANCESCO";"14/01/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"27197";"MELEGA CORRADO";"14/01/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"9097";"PETRELLA TOMMASO";"14/01/2013";"PARTITO DEMOCRATICO";"P";8;"80 ";
"33979";"LA TORRE CATHY";"14/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";6;"60 ";
"33980";"PIERALISI MIRCO";"14/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";8;"80 ";
"26392";"CIPRIANI LORENZO";"14/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";4;"40 ";
"33987";"SAZZINI LORENZO";"14/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;"70 ";
"32714";"CAVIANO PASQUALE";"14/01/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";8;"80 ";
"21843";"LISEI MARCO";"14/01/2013";"POPOLO DELLA LIBERTA'";"P";8;"80 ";
"27208";"TOMASSINI LORENZO";"14/01/2013";"POPOLO DELLA LIBERTA'";"P";6;"60 ";
"32712";"FACCI MICHELE";"14/01/2013";"POPOLO DELLA LIBERTA'";"P";6;"60 ";
"27997";"CASTALDINI VALENT.";"14/01/2013";"POPOLO DELLA LIBERTA'";"P";7;"70 ";
"8904";"CARELLA DANIELE";"14/01/2013";"POPOLO DELLA LIBERTA'";"P";8;"80 ";
"20144";"GATTUSO PATRIZIO G.";"14/01/2013";"POPOLO DELLA LIBERTA'";"P";5;"50 ";
"32719";"BERNARDINI MANES";"14/01/2013";"LEGA NORD";"P";7;"70 ";
"33981";"COCCONCELLI MIRKA";"14/01/2013";"LEGA NORD";"P";8;"80 ";
"33982";"SCARANO PAOLA F.";"14/01/2013";"LEGA NORD";"P";7;"70 ";
"33983";"BORGONZONI LUCIA";"14/01/2013";"LEGA NORD";"P";5;"50 ";
"33984";"BUGANI MASSIMO";"14/01/2013";"MOVIMENTO 5 STELLE";"P";7;"70 ";
"32861";"SALSI FEDERICA";"14/01/2013";"GRUPPO MISTO";"P";7;"70 ";
"33985";"PIAZZA MARCO";"14/01/2013";"MOVIMENTO 5 STELLE";"P";6;"60 ";
"33986";"ALDROVANDI STEFANO";"14/01/2013";"BOLOGNA 2016";"P";0;"0  ";
"32708";"TURCI DANIELA";"14/01/2013";"PARTITO DEMOCRATICO";"P";2;"20 ";
"16863";"MEROLA VIRGINIO";"15/02/2013";"SINDACO";"A";0;"0  ";
"9076";"MAZZANTI CLAUDIO";"15/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"29442";"CRITELLI FRANCESCO";"15/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32746";"LEMBI SIMONA";"15/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"15/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"15586";"MARCHESINI ANGELO";"15/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"18313";"LO GIUDICE SERGIO";"15/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"9181";"SANTI RAFFAELLA";"15/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"32704";"LAMA ROSSELLA";"15/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27410";"FERRI MARIARAFFAELLA";"15/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27481";"ZACCHIROLI BENEDETTO";"15/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"32794";"MIGNANI MARIANNA";"15/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"22034";"GHETTI MAURIZIO";"15/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33977";"BENASSI MARZIA";"15/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33978";"ERRANI FRANCESCO";"15/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27197";"MELEGA CORRADO";"15/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"9097";"PETRELLA TOMMASO";"15/02/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"33979";"LA TORRE CATHY";"15/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33980";"PIERALISI MIRCO";"15/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;"49 ";
"26392";"CIPRIANI LORENZO";"15/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33987";"SAZZINI LORENZO";"15/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"32714";"CAVIANO PASQUALE";"15/02/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"A";0;"0  ";
"21843";"LISEI MARCO";"15/02/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"27208";"TOMASSINI LORENZO";"15/02/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32712";"FACCI MICHELE";"15/02/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"27997";"CASTALDINI VALENT.";"15/02/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"8904";"CARELLA DANIELE";"15/02/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"20144";"GATTUSO PATRIZIO G.";"15/02/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32719";"BERNARDINI MANES";"15/02/2013";"LEGA NORD";"P";0;"0  ";
"33981";"COCCONCELLI MIRKA";"15/02/2013";"LEGA NORD";"P";1;"49 ";
"33982";"SCARANO PAOLA F.";"15/02/2013";"LEGA NORD";"P";0;"0  ";
"33983";"BORGONZONI LUCIA";"15/02/2013";"LEGA NORD";"P";0;"0  ";
"33984";"BUGANI MASSIMO";"15/02/2013";"MOVIMENTO 5 STELLE";"P";0;"0  ";
"32861";"SALSI FEDERICA";"15/02/2013";"GRUPPO MISTO";"P";0;"0  ";
"33985";"PIAZZA MARCO";"15/02/2013";"MOVIMENTO 5 STELLE";"P";1;"49 ";
"33986";"ALDROVANDI STEFANO";"15/02/2013";"BOLOGNA 2016";"A";0;"0  ";
"32708";"TURCI DANIELA";"15/02/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"16863";"MEROLA VIRGINIO";"15/03/2013";"SINDACO";"P";0;"0  ";
"9076";"MAZZANTI CLAUDIO";"15/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"29442";"CRITELLI FRANCESCO";"15/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"32746";"LEMBI SIMONA";"15/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27189";"BARCELO' LIZANA LEONARDO L.";"15/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"15586";"MARCHESINI ANGELO";"15/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"18313";"LO GIUDICE SERGIO";"15/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"9181";"SANTI RAFFAELLA";"15/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32704";"LAMA ROSSELLA";"15/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27410";"FERRI MARIARAFFAELLA";"15/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27481";"ZACCHIROLI BENEDETTO";"15/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32794";"MIGNANI MARIANNA";"15/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"22034";"GHETTI MAURIZIO";"15/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33977";"BENASSI MARZIA";"15/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"33978";"ERRANI FRANCESCO";"15/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27197";"MELEGA CORRADO";"15/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"9097";"PETRELLA TOMMASO";"15/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33979";"LA TORRE CATHY";"15/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33980";"PIERALISI MIRCO";"15/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"26392";"CIPRIANI LORENZO";"15/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33987";"SAZZINI LORENZO";"15/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"32714";"CAVIANO PASQUALE";"15/03/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";1;"49 ";
"21843";"LISEI MARCO";"15/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"27208";"TOMASSINI LORENZO";"15/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32712";"FACCI MICHELE";"15/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"27997";"CASTALDINI VALENT.";"15/03/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"8904";"CARELLA DANIELE";"15/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"20144";"GATTUSO PATRIZIO G.";"15/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32719";"BERNARDINI MANES";"15/03/2013";"LEGA NORD";"P";1;"49 ";
"33981";"COCCONCELLI MIRKA";"15/03/2013";"LEGA NORD";"P";1;"49 ";
"33982";"SCARANO PAOLA F.";"15/03/2013";"LEGA NORD";"P";1;"49 ";
"33983";"BORGONZONI LUCIA";"15/03/2013";"LEGA NORD";"P";1;"49 ";
"33984";"BUGANI MASSIMO";"15/03/2013";"MOVIMENTO 5 STELLE";"P";1;"49 ";
"32861";"SALSI FEDERICA";"15/03/2013";"GRUPPO MISTO";"P";0;"0  ";
"33985";"PIAZZA MARCO";"15/03/2013";"MOVIMENTO 5 STELLE";"P";1;"49 ";
"33986";"ALDROVANDI STEFANO";"15/03/2013";"BOLOGNA 2016";"P";0;"0  ";
"32708";"TURCI DANIELA";"15/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"16863";"MEROLA VIRGINIO";"18/01/2013";"SINDACO";"A";0;"0  ";
"9076";"MAZZANTI CLAUDIO";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"29442";"CRITELLI FRANCESCO";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32746";"LEMBI SIMONA";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"15586";"MARCHESINI ANGELO";"18/01/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"18313";"LO GIUDICE SERGIO";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"9181";"SANTI RAFFAELLA";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32704";"LAMA ROSSELLA";"18/01/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27410";"FERRI MARIARAFFAELLA";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27481";"ZACCHIROLI BENEDETTO";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32794";"MIGNANI MARIANNA";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"22034";"GHETTI MAURIZIO";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33977";"BENASSI MARZIA";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33978";"ERRANI FRANCESCO";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27197";"MELEGA CORRADO";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"9097";"PETRELLA TOMMASO";"18/01/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33979";"LA TORRE CATHY";"18/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33980";"PIERALISI MIRCO";"18/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"26392";"CIPRIANI LORENZO";"18/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33987";"SAZZINI LORENZO";"18/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"32714";"CAVIANO PASQUALE";"18/01/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";1;"49 ";
"21843";"LISEI MARCO";"18/01/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"27208";"TOMASSINI LORENZO";"18/01/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32712";"FACCI MICHELE";"18/01/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"27997";"CASTALDINI VALENT.";"18/01/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"8904";"CARELLA DANIELE";"18/01/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"20144";"GATTUSO PATRIZIO G.";"18/01/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32719";"BERNARDINI MANES";"18/01/2013";"LEGA NORD";"P";1;"49 ";
"33981";"COCCONCELLI MIRKA";"18/01/2013";"LEGA NORD";"P";1;"49 ";
"33982";"SCARANO PAOLA F.";"18/01/2013";"LEGA NORD";"P";1;"49 ";
"33983";"BORGONZONI LUCIA";"18/01/2013";"LEGA NORD";"P";1;"49 ";
"33984";"BUGANI MASSIMO";"18/01/2013";"MOVIMENTO 5 STELLE";"A";0;"0  ";
"32861";"SALSI FEDERICA";"18/01/2013";"GRUPPO MISTO";"P";1;"49 ";
