"Progressivo";"Nominativo";"Data Seduta";"Gruppo Politico";"Presenza";"Num.Votazioni";"Percentuale presenza alle votazioni";"Note"
"33980";"PIERALISI MIRCO";"01/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"26392";"CIPRIANI LORENZO";"01/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33987";"SAZZINI LORENZO";"01/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"32714";"CAVIANO PASQUALE";"01/03/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";0;"0  ";
"21843";"LISEI MARCO";"01/03/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"27208";"TOMASSINI LORENZO";"01/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32712";"FACCI MICHELE";"01/03/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"27997";"CASTALDINI VALENT.";"01/03/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"8904";"CARELLA DANIELE";"01/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"20144";"GATTUSO PATRIZIO G.";"01/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32719";"BERNARDINI MANES";"01/03/2013";"LEGA NORD";"P";1;"49 ";
"33981";"COCCONCELLI MIRKA";"01/03/2013";"LEGA NORD";"P";0;"0  ";
"33982";"SCARANO PAOLA F.";"01/03/2013";"LEGA NORD";"P";1;"49 ";
"33983";"BORGONZONI LUCIA";"01/03/2013";"LEGA NORD";"P";0;"0  ";
"33984";"BUGANI MASSIMO";"01/03/2013";"MOVIMENTO 5 STELLE";"P";0;"0  ";
"32861";"SALSI FEDERICA";"01/03/2013";"GRUPPO MISTO";"P";0;"0  ";
"33985";"PIAZZA MARCO";"01/03/2013";"MOVIMENTO 5 STELLE";"P";0;"0  ";
"33986";"ALDROVANDI STEFANO";"01/03/2013";"BOLOGNA 2016";"P";0;"0  ";
"32708";"TURCI DANIELA";"01/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"16863";"MEROLA VIRGINIO";"04/02/2013";"SINDACO";"A";0;"0  ";
"9076";"MAZZANTI CLAUDIO";"04/02/2013";"PARTITO DEMOCRATICO";"P";2;"31 ";
"29442";"CRITELLI FRANCESCO";"04/02/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"32746";"LEMBI SIMONA";"04/02/2013";"PARTITO DEMOCRATICO";"P";2;"31 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"04/02/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"15586";"MARCHESINI ANGELO";"04/02/2013";"PARTITO DEMOCRATICO";"P";2;"31 ";
"18313";"LO GIUDICE SERGIO";"04/02/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"9181";"SANTI RAFFAELLA";"04/02/2013";"PARTITO DEMOCRATICO";"P";2;"31 ";
"32704";"LAMA ROSSELLA";"04/02/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"27410";"FERRI MARIARAFFAELLA";"04/02/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"27481";"ZACCHIROLI BENEDETTO";"04/02/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"32794";"MIGNANI MARIANNA";"04/02/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"22034";"GHETTI MAURIZIO";"04/02/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"33977";"BENASSI MARZIA";"04/02/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"33978";"ERRANI FRANCESCO";"04/02/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"27197";"MELEGA CORRADO";"04/02/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"9097";"PETRELLA TOMMASO";"04/02/2013";"PARTITO DEMOCRATICO";"P";1;"15 ";
"33979";"LA TORRE CATHY";"04/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";3;"47 ";
"33980";"PIERALISI MIRCO";"04/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";4;"62 ";
"26392";"CIPRIANI LORENZO";"04/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";4;"62 ";
"33987";"SAZZINI LORENZO";"04/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;"0  ";
"32714";"CAVIANO PASQUALE";"04/02/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";2;"31 ";
"21843";"LISEI MARCO";"04/02/2013";"POPOLO DELLA LIBERTA'";"P";4;"62 ";
"27208";"TOMASSINI LORENZO";"04/02/2013";"POPOLO DELLA LIBERTA'";"P";4;"62 ";
"32712";"FACCI MICHELE";"04/02/2013";"POPOLO DELLA LIBERTA'";"P";2;"31 ";
"27997";"CASTALDINI VALENT.";"04/02/2013";"POPOLO DELLA LIBERTA'";"P";3;"47 ";
"8904";"CARELLA DANIELE";"04/02/2013";"POPOLO DELLA LIBERTA'";"P";5;"78 ";
"20144";"GATTUSO PATRIZIO G.";"04/02/2013";"POPOLO DELLA LIBERTA'";"P";4;"62 ";
"32719";"BERNARDINI MANES";"04/02/2013";"LEGA NORD";"P";1;"15 ";
"33981";"COCCONCELLI MIRKA";"04/02/2013";"LEGA NORD";"P";5;"78 ";
"33982";"SCARANO PAOLA F.";"04/02/2013";"LEGA NORD";"P";5;"78 ";
"33983";"BORGONZONI LUCIA";"04/02/2013";"LEGA NORD";"P";3;"47 ";
"33984";"BUGANI MASSIMO";"04/02/2013";"MOVIMENTO 5 STELLE";"P";4;"62 ";
"32861";"SALSI FEDERICA";"04/02/2013";"GRUPPO MISTO";"P";4;"62 ";
"33985";"PIAZZA MARCO";"04/02/2013";"MOVIMENTO 5 STELLE";"P";4;"62 ";
"33986";"ALDROVANDI STEFANO";"04/02/2013";"BOLOGNA 2016";"P";4;"62 ";
"32708";"TURCI DANIELA";"04/02/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"16863";"MEROLA VIRGINIO";"04/03/2013";"SINDACO";"P";1;"15 ";
"9076";"MAZZANTI CLAUDIO";"04/03/2013";"PARTITO DEMOCRATICO";"P";3;"47 ";
"29442";"CRITELLI FRANCESCO";"04/03/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"32746";"LEMBI SIMONA";"04/03/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"04/03/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"15586";"MARCHESINI ANGELO";"04/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"18313";"LO GIUDICE SERGIO";"04/03/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"9181";"SANTI RAFFAELLA";"04/03/2013";"PARTITO DEMOCRATICO";"P";3;"47 ";
"32704";"LAMA ROSSELLA";"04/03/2013";"PARTITO DEMOCRATICO";"P";3;"47 ";
"27410";"FERRI MARIARAFFAELLA";"04/03/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"27481";"ZACCHIROLI BENEDETTO";"04/03/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"32794";"MIGNANI MARIANNA";"04/03/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"22034";"GHETTI MAURIZIO";"04/03/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"33977";"BENASSI MARZIA";"04/03/2013";"PARTITO DEMOCRATICO";"P";3;"47 ";
"33978";"ERRANI FRANCESCO";"04/03/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"27197";"MELEGA CORRADO";"04/03/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"9097";"PETRELLA TOMMASO";"04/03/2013";"PARTITO DEMOCRATICO";"P";5;"78 ";
"33979";"LA TORRE CATHY";"04/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";4;"62 ";
"33980";"PIERALISI MIRCO";"04/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";3;"47 ";
"26392";"CIPRIANI LORENZO";"04/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";2;"31 ";
"33987";"SAZZINI LORENZO";"04/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";4;"62 ";
"32714";"CAVIANO PASQUALE";"04/03/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";3;"47 ";
"21843";"LISEI MARCO";"04/03/2013";"POPOLO DELLA LIBERTA'";"P";5;"78 ";
"27208";"TOMASSINI LORENZO";"04/03/2013";"POPOLO DELLA LIBERTA'";"P";2;"31 ";
"32712";"FACCI MICHELE";"04/03/2013";"POPOLO DELLA LIBERTA'";"P";5;"78 ";
"27997";"CASTALDINI VALENT.";"04/03/2013";"POPOLO DELLA LIBERTA'";"P";2;"31 ";
"8904";"CARELLA DANIELE";"04/03/2013";"POPOLO DELLA LIBERTA'";"P";5;"78 ";
"20144";"GATTUSO PATRIZIO G.";"04/03/2013";"POPOLO DELLA LIBERTA'";"P";2;"31 ";
"32719";"BERNARDINI MANES";"04/03/2013";"LEGA NORD";"P";3;"47 ";
"33981";"COCCONCELLI MIRKA";"04/03/2013";"LEGA NORD";"P";5;"78 ";
"33982";"SCARANO PAOLA F.";"04/03/2013";"LEGA NORD";"P";5;"78 ";
"33983";"BORGONZONI LUCIA";"04/03/2013";"LEGA NORD";"P";3;"47 ";
"33984";"BUGANI MASSIMO";"04/03/2013";"MOVIMENTO 5 STELLE";"P";4;"62 ";
"32861";"SALSI FEDERICA";"04/03/2013";"GRUPPO MISTO";"P";4;"62 ";
"33985";"PIAZZA MARCO";"04/03/2013";"MOVIMENTO 5 STELLE";"P";5;"78 ";
"33986";"ALDROVANDI STEFANO";"04/03/2013";"BOLOGNA 2016";"P";2;"31 ";
"32708";"TURCI DANIELA";"04/03/2013";"PARTITO DEMOCRATICO";"P";4;"62 ";
"16863";"MEROLA VIRGINIO";"07/01/2013";"SINDACO";"P";1;"6  ";
"9076";"MAZZANTI CLAUDIO";"07/01/2013";"PARTITO DEMOCRATICO";"P";13;"79 ";
"29442";"CRITELLI FRANCESCO";"07/01/2013";"PARTITO DEMOCRATICO";"P";13;"79 ";
"32746";"LEMBI SIMONA";"07/01/2013";"PARTITO DEMOCRATICO";"P";12;"73 ";
