Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"16863";"MEROLA VIRGINIO";02/03/2012;"SINDACO";"P";0;0  
"9116";"CEVENINI MAURIZIO";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"9076";"MAZZANTI CLAUDIO";02/03/2012;"PARTITO DEMOCRATICO";"A";0;0  
"29442";"CRITELLI FRANCESCO";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32746";"LEMBI SIMONA";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27189";"BARCELO' LIZANA LEONARDO L.";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"15586";"MARCHESINI ANGELO";02/03/2012;"PARTITO DEMOCRATICO";"P";0;0  
"18313";"LO GIUDICE SERGIO";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"9181";"SANTI RAFFAELLA";02/03/2012;"PARTITO DEMOCRATICO";"P";0;0  
"32704";"LAMA ROSSELLA";02/03/2012;"PARTITO DEMOCRATICO";"P";0;0  
"27410";"FERRI MARIARAFFAELLA";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27481";"ZACCHIROLI BENEDETTO";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32794";"MIGNANI MARIANNA";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"22034";"GHETTI MAURIZIO";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33977";"BENASSI MARZIA";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33978";"ERRANI FRANCESCO";02/03/2012;"PARTITO DEMOCRATICO";"P";0;0  
"27197";"MELEGA CORRADO";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"9097";"PETRELLA TOMMASO";02/03/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33979";"LA TORRE CATHY";02/03/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"33980";"PIERALISI MIRCO";02/03/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;49 
"26392";"CIPRIANI LORENZO";02/03/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;49 
"33987";"SAZZINI LORENZO";02/03/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;49 
"32714";"CAVIANO PASQUALE";02/03/2012;"ITALIA DEI VALORI";"P";1;49 
"21843";"LISEI MARCO";02/03/2012;"POPOLO DELLA LIBERTA'";"A";0;0  
"27208";"TOMASSINI LORENZO";02/03/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"32712";"FACCI MICHELE";02/03/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"27997";"CASTALDINI VALENT.";02/03/2012;"POPOLO DELLA LIBERTA'";"P";0;0  
"8904";"CARELLA DANIELE";02/03/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"20144";"GATTUSO PATRIZIO G.";02/03/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"32719";"BERNARDINI MANES";02/03/2012;"LEGA NORD";"P";1;49 
"33981";"COCCONCELLI MIRKA";02/03/2012;"LEGA NORD";"P";1;49 
"33982";"SCARANO PAOLA F.";02/03/2012;"LEGA NORD";"P";1;49 
"33983";"BORGONZONI LUCIA";02/03/2012;"LEGA NORD";"P";1;49 
"33984";"BUGANI MASSIMO";02/03/2012;"MOVIMENTO 5 STELLE";"P";1;49 
"32861";"SALSI FEDERICA";02/03/2012;"MOVIMENTO 5 STELLE";"P";1;49 
"33985";"PIAZZA MARCO";02/03/2012;"MOVIMENTO 5 STELLE";"P";1;49 
"33986";"ALDROVANDI STEFANO";02/03/2012;"BOLOGNA 2016";"A";0;0  
"16863";"MEROLA VIRGINIO";03/02/2012;"SINDACO";"A";0;0  
"9116";"CEVENINI MAURIZIO";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"9076";"MAZZANTI CLAUDIO";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"29442";"CRITELLI FRANCESCO";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32746";"LEMBI SIMONA";03/02/2012;"PARTITO DEMOCRATICO";"P";0;0  
"27189";"BARCELO' LIZANA LEONARDO L.";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"15586";"MARCHESINI ANGELO";03/02/2012;"PARTITO DEMOCRATICO";"P";0;0  
"18313";"LO GIUDICE SERGIO";03/02/2012;"PARTITO DEMOCRATICO";"P";0;0  
"9181";"SANTI RAFFAELLA";03/02/2012;"PARTITO DEMOCRATICO";"P";0;0  
"32704";"LAMA ROSSELLA";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27410";"FERRI MARIARAFFAELLA";03/02/2012;"PARTITO DEMOCRATICO";"A";0;0  
"27481";"ZACCHIROLI BENEDETTO";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32794";"MIGNANI MARIANNA";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"22034";"GHETTI MAURIZIO";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33977";"BENASSI MARZIA";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33978";"ERRANI FRANCESCO";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27197";"MELEGA CORRADO";03/02/2012;"PARTITO DEMOCRATICO";"P";1;49 
"9097";"PETRELLA TOMMASO";03/02/2012;"PARTITO DEMOCRATICO";"P";0;0  
"33979";"LA TORRE CATHY";03/02/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33980";"PIERALISI MIRCO";03/02/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;49 
"26392";"CIPRIANI LORENZO";03/02/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
