Progressivo Consigliere Firmatario;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
;"Delibera di Consiglio";21/01/2013;"REGOLAMENTO PER L'ASSEGNAZIONE E LA GESTIONE DEGLI ALLOGGI DI EDILIZIA RESIDENZIALE PUBBLICA";269923;2012;23/01/2013;"Servizi per l'abitare";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/3FBCE1200EE1E305C1257AB8002B4F53?OpenDocument"
;"Delibera di Consiglio";21/01/2013;"SRM SRL: ADDENDUM ALLA CONVENZIONE AVENTE AD OGGETTO L'AFFIDAMENTO DELLE FUNZIONI DI CUI AGLI ARTT. 19, 32, 33, E 34 DELLA LEGGE REGIONALE EMILIA ROMAGNA 2 OTTOBRE 1998 N. 30 E SUA SUCCESSIVA MODIFICAZIONE";287674;2012;23/01/2013;"Partecipazioni societarie";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/B5C9F84A7F64EDEFC1257ACC0034878A?OpenDocument"
;"Delibera di Consiglio";21/01/2013;"AUTORIZZAZIONE ALLA SPESA DI EURO 39.388.250,00 PER L' APPALTO QUINQUENNALE DI MANUTENZIONE DEL PATRIMONIO VERDE COMUNALE PER GLI ANNI 2013 - 2018.";289483;2012;23/01/2013;"Ambiente e Energia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/55E64B8EF56D084CC1257AD1003A2390?OpenDocument"
;"Delibera di Consiglio";21/01/2013;"AUTORIZZAZIONE ALLA SPESA DI EURO 54.909.754,86 PER L' APPALTO QUINQUENNALE DI MANUTENZIONE DEL PATRIMONIO COMUNALE DI STRADE E SEGNALETICA PER GLI ANNI 2013 - 2018.";282819;2012;23/01/2013;"Infrastrutture e manutenzione";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/A5A356317BAB9D8CC1257AD10044C30C?OpenDocument"
"18313";"OdG";28/01/2013;"ORDINE DEL GIORNO PER INVITARE LA GIUNTA A MODIFICARE IL REGOLAMENTO DI POLIZIA MORTUARIA PER ESTENDERE AL CONVIVENTE ALCUNE DELLE MISURE PREVISTE PER I FAMILIARI, PRESENTATO DAL CONSIGLIERE LO GIUDICE IN DATA 9.7.2012 E SUCCESSIVAMENTE SOTTOSCRITTO DA ALTRI CONSIGLIERI.";168697;2012;;"PARTITO DEMOCRATICO";"LO GIUDICE SERGIO";"CIPRIANI LORENZO - 26392","LA TORRE CATHY - 33979","ZACCHIROLI BENEDETTO - 27481";
;"Delibera di Consiglio";28/01/2013;"ART.3 DEL D.P.R. 383 DEL 18 APRILE 1994. SISTEMA FERROVIARIO AV/AC MILANO- NAPOLI - NODO DI BOLOGNA -  FOGNATURA SAN RUFFILLO - COLLETTORE FOGNARIO DI SCOLMO.  PARERE DI COMPETENZA";2863;2013;30/01/2013;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/356B7D048657F992C1257ABD003577E4?OpenDocument"
;"Delibera di Consiglio";28/01/2013;"NULLA OSTA AL RILASCIO DEL PERMESSO DI COSTRUIRE IN DEROGA ALLE NORME DEL RUE VIGENTE, RELATIVO ALL'AMPLIAMENTO DELL'EDIFICIO DI INTERESSE STORICO ARCHITETTONICO DENOMINATO 'VILLA BACIOCCHI' DA DESTINARE AD ATTIVITA' SOCIO SANITARIA SITO IN VIA SIEPELUNGA N. 46";2806;2013;30/01/2013;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/99F0F22A5321A4B0C1257AC6002AD87A?OpenDocument"
"33986";"OdG";04/02/2013;"ORDINE DEL GIORNO PER LA DEFINIZIONE DI LINEE POLITICHE E STRATEGICHE AL FINE DI CONTRIBUIRE ALLO SVILUPPO DELLA CITTA' E ALLA CRESCITA DEL LAVORO ATTRAVERSO UN NUOVO BINOMIO CULTURA/SVILUPPO PRESENTATO DAL CONSIGLIERE ALDROVANDI IN DATA 10.09.2012 E SUCCESSIVAMENTE DA ALTRI CONSIGLIERI IN DATA 4 FEBBRAIO 2013";210888;2012;;"BOLOGNA 2016";"ALDROVANDI STEFANO";"LO GIUDICE SERGIO - 18313","PIAZZA MARCO - 33985","PIERALISI MIRCO - 33980";
"18313";"OdG";04/02/2013;"ORDINE DEL  GIORNO PER GARANTIRE IL DIRITTO ALLA MOBILITA' DELLE PERSONE CON DISABILITA'  E IL CONTRASTO ALL'ABUSO DEI CONTRASSEGNI ATTRAVERSO LA REVISIONE DEL SISTEMA DI ASSEGNAZIONE DEI PASS LEGATI ALLE TARGHE AUTOMOBILISTICHE, PRESENTATO DAL CONSIGLIERE LO GIUDICE ED ALTRI IN DATA 26.11.2012";277993;2012;;"PARTITO DEMOCRATICO";"LO GIUDICE SERGIO";"CAVIANO PASQUALE - 32714","CIPRIANI LORENZO - 26392","ERRANI FRANCESCO - 33978","FERRI MARIARAFFAELLA - 27410","GHETTI MAURIZIO - 22034","LA TORRE CATHY - 33979","PETRELLA TOMMASO - 9097","PIERALISI MIRCO - 33980","SANTI RAFFAELLA - 9181","ZACCHIROLI BENEDETTO - 27481";
"27189";"OdG";11/02/2013;"ORDINE DEL GIORNO SUL RICONOSCIMENTO DELLA CITTADINANZA ONORARIA AI BAMBINI, FIGLI DI IMMIGRATI, NATI IN ITALIA E RESIDENTI A BOLOGNA, PRESENTATO DAL CONSIGLIERE BARCELO' ED ALTRI IN DATA 9.7.2012.";168658;2012;;"PARTITO DEMOCRATICO";"BARCELO' LIZANA LEONARDO LUIS";"LEMBI SIMONA - 32746","LO GIUDICE SERGIO - 18313";
