Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"27997";"CASTALDINI VALENT.";02/12/2011;"POPOLO DELLA LIBERTA'";"P";0;0  
"8904";"CARELLA DANIELE";02/12/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"20144";"GATTUSO PATRIZIO G.";02/12/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"32719";"BERNARDINI MANES";02/12/2011;"LEGA NORD";"A";0;0  
"33981";"COCCONCELLI MIRKA";02/12/2011;"LEGA NORD";"P";1;49 
"33982";"SCARANO PAOLA F.";02/12/2011;"LEGA NORD";"P";1;49 
"33983";"BORGONZONI LUCIA";02/12/2011;"LEGA NORD";"P";1;49 
"33984";"BUGANI MASSIMO";02/12/2011;"MOVIMENTO 5 STELLE";"P";0;0  
"32861";"SALSI FEDERICA";02/12/2011;"MOVIMENTO 5 STELLE";"P";0;0  
"33985";"PIAZZA MARCO";02/12/2011;"MOVIMENTO 5 STELLE";"P";0;0  
"33986";"ALDROVANDI STEFANO";02/12/2011;"BOLOGNA 2016";"A";0;0  
"16863";"MEROLA VIRGINIO";03/10/2011;"SINDACO";"A";0;0  
"9116";"CEVENINI MAURIZIO";03/10/2011;"PARTITO DEMOCRATICO";"P";8;72 
"9076";"MAZZANTI CLAUDIO";03/10/2011;"PARTITO DEMOCRATICO";"P";9;81 
"29442";"CRITELLI FRANCESCO";03/10/2011;"PARTITO DEMOCRATICO";"P";8;72 
"32746";"LEMBI SIMONA";03/10/2011;"PARTITO DEMOCRATICO";"P";9;81 
"27189";"BARCELO' LIZANA LEONARDO L.";03/10/2011;"PARTITO DEMOCRATICO";"P";1;9  
"15586";"MARCHESINI ANGELO";03/10/2011;"PARTITO DEMOCRATICO";"P";4;36 
"18313";"LO GIUDICE SERGIO";03/10/2011;"PARTITO DEMOCRATICO";"P";9;81 
"9181";"SANTI RAFFAELLA";03/10/2011;"PARTITO DEMOCRATICO";"P";9;81 
"32704";"LAMA ROSSELLA";03/10/2011;"PARTITO DEMOCRATICO";"P";6;54 
"27410";"FERRI MARIARAFFAELLA";03/10/2011;"PARTITO DEMOCRATICO";"P";9;81 
"27481";"ZACCHIROLI BENEDETTO";03/10/2011;"PARTITO DEMOCRATICO";"P";9;81 
"32794";"MIGNANI MARIANNA";03/10/2011;"PARTITO DEMOCRATICO";"P";9;81 
"22034";"GHETTI MAURIZIO";03/10/2011;"PARTITO DEMOCRATICO";"P";3;27 
