Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"16863";"MEROLA VIRGINIO";01/06/2012;"SINDACO";"A";0;0  
"9076";"MAZZANTI CLAUDIO";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"29442";"CRITELLI FRANCESCO";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32746";"LEMBI SIMONA";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27189";"BARCELO' LIZANA LEONARDO L.";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"15586";"MARCHESINI ANGELO";01/06/2012;"PARTITO DEMOCRATICO";"P";0;0  
"18313";"LO GIUDICE SERGIO";01/06/2012;"PARTITO DEMOCRATICO";"A";0;0  
"9181";"SANTI RAFFAELLA";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32704";"LAMA ROSSELLA";01/06/2012;"PARTITO DEMOCRATICO";"A";0;0  
"27410";"FERRI MARIARAFFAELLA";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27481";"ZACCHIROLI BENEDETTO";01/06/2012;"PARTITO DEMOCRATICO";"P";0;0  
"32794";"MIGNANI MARIANNA";01/06/2012;"PARTITO DEMOCRATICO";"A";0;0  
"22034";"GHETTI MAURIZIO";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33977";"BENASSI MARZIA";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33978";"ERRANI FRANCESCO";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27197";"MELEGA CORRADO";01/06/2012;"PARTITO DEMOCRATICO";"A";0;0  
"9097";"PETRELLA TOMMASO";01/06/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33979";"LA TORRE CATHY";01/06/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33980";"PIERALISI MIRCO";01/06/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;49 
"26392";"CIPRIANI LORENZO";01/06/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33987";"SAZZINI LORENZO";01/06/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
