Progressivo,Data,Presenza,Votazioni,Percentuale
33980,2013-05-06,P,9,72
26392,2013-05-06,P,7,56
33987,2013-05-06,P,10,80
32714,2013-05-06,P,10,80
21843,2013-05-06,P,7,56
27208,2013-05-06,P,9,72
32712,2013-05-06,P,10,80
27997,2013-05-06,P,10,80
8904,2013-05-06,P,10,80
20144,2013-05-06,P,7,56
32719,2013-05-06,P,9,72
33981,2013-05-06,P,10,80
33982,2013-05-06,P,10,80
33983,2013-05-06,P,9,72
33984,2013-05-06,P,9,72
32861,2013-05-06,P,10,80
33985,2013-05-06,P,9,72
33986,2013-05-06,P,5,40
32708,2013-05-06,P,5,40
0,2013-05-06,P,10,80
16863,2013-06-07,A,0,0
9076,2013-06-07,P,0,0
29442,2013-06-07,P,1,49
32746,2013-06-07,P,1,49
27189,2013-06-07,P,1,49
15586,2013-06-07,P,1,49
9181,2013-06-07,P,1,49
32704,2013-06-07,P,1,49
27410,2013-06-07,P,0,0
27481,2013-06-07,A,0,0
32794,2013-06-07,P,1,49
22034,2013-06-07,P,1,49
33977,2013-06-07,A,0,0
33978,2013-06-07,P,1,49
27197,2013-06-07,P,1,49
9097,2013-06-07,P,1,49
33979,2013-06-07,P,0,0
33980,2013-06-07,P,1,49
26392,2013-06-07,A,0,0
33987,2013-06-07,P,0,0
32714,2013-06-07,P,1,49
21843,2013-06-07,P,1,49
27208,2013-06-07,P,1,49
32712,2013-06-07,P,1,49
27997,2013-06-07,A,0,0
8904,2013-06-07,P,1,49
20144,2013-06-07,P,1,49
32719,2013-06-07,A,0,0
33981,2013-06-07,P,1,49
33982,2013-06-07,P,1,49
33983,2013-06-07,P,0,0
33984,2013-06-07,P,1,49
32861,2013-06-07,P,0,0
33985,2013-06-07,P,1,49
33986,2013-06-07,P,1,49
32708,2013-06-07,P,0,0
0,2013-06-07,P,0,0
16863,2013-04-08,P,0,0
9076,2013-04-08,P,6,60
29442,2013-04-08,P,8,80
32746,2013-04-08,P,7,70
27189,2013-04-08,P,7,70
15586,2013-04-08,P,3,30
9181,2013-04-08,P,8,80
32704,2013-04-08,P,6,60
27410,2013-04-08,P,8,80
27481,2013-04-08,P,7,70
32794,2013-04-08,P,8,80
22034,2013-04-08,P,8,80
33977,2013-04-08,P,8,80
33978,2013-04-08,P,8,80
27197,2013-04-08,P,7,70
9097,2013-04-08,P,4,40
33979,2013-04-08,P,7,70
33980,2013-04-08,P,6,60
26392,2013-04-08,P,7,70
33987,2013-04-08,A,0,0
32714,2013-04-08,P,8,80
21843,2013-04-08,P,7,70
27208,2013-04-08,P,8,80
32712,2013-04-08,P,8,80
27997,2013-04-08,P,7,70
8904,2013-04-08,P,8,80
20144,2013-04-08,P,3,30
32719,2013-04-08,P,7,70
33981,2013-04-08,P,8,80
33982,2013-04-08,P,7,70
33983,2013-04-08,P,6,60
33984,2013-04-08,P,7,70
32861,2013-04-08,P,8,80
33985,2013-04-08,P,8,80
33986,2013-04-08,P,0,0
32708,2013-04-08,P,8,80
0,2013-04-08,P,7,70
16863,2013-05-10,A,0,0
9076,2013-05-10,P,1,49
29442,2013-05-10,P,1,49
32746,2013-05-10,P,0,0
27189,2013-05-10,P,1,49
15586,2013-05-10,P,1,49
9181,2013-05-10,P,1,49
32704,2013-05-10,P,0,0
27410,2013-05-10,P,1,49
27481,2013-05-10,P,0,0
32794,2013-05-10,P,1,49
22034,2013-05-10,P,1,49
33977,2013-05-10,P,1,49
33978,2013-05-10,P,0,0
27197,2013-05-10,P,1,49
9097,2013-05-10,P,1,49
33979,2013-05-10,P,0,0
33980,2013-05-10,P,0,0
26392,2013-05-10,P,1,49
33987,2013-05-10,P,0,0
32714,2013-05-10,P,1,49
21843,2013-05-10,P,0,0
27208,2013-05-10,P,1,49
32712,2013-05-10,P,0,0
27997,2013-05-10,P,0,0
8904,2013-05-10,P,1,49
20144,2013-05-10,P,1,49
32719,2013-05-10,P,1,49
33981,2013-05-10,A,0,0
33982,2013-05-10,P,1,49
33983,2013-05-10,P,0,0
33984,2013-05-10,P,0,0
32861,2013-05-10,P,0,0
33985,2013-05-10,P,0,0
33986,2013-05-10,P,1,49
32708,2013-05-10,P,0,0
0,2013-05-10,P,1,49
16863,2013-06-10,P,3,20
9076,2013-06-10,P,12,80
29442,2013-06-10,P,12,80
32746,2013-06-10,A,0,0
27189,2013-06-10,P,12,80
15586,2013-06-10,P,7,46
9181,2013-06-10,P,10,66
32704,2013-06-10,P,12,80
27410,2013-06-10,P,11,73
27481,2013-06-10,P,11,73
32794,2013-06-10,P,12,80
22034,2013-06-10,P,11,73
33977,2013-06-10,P,11,73
33978,2013-06-10,P,12,80
27197,2013-06-10,P,12,80
9097,2013-06-10,P,12,80
33979,2013-06-10,P,9,60
33980,2013-06-10,P,10,66
26392,2013-06-10,P,1,6
33987,2013-06-10,P,9,60
32714,2013-06-10,P,7,46
21843,2013-06-10,P,11,73
27208,2013-06-10,A,0,0
32712,2013-06-10,A,0,0
27997,2013-06-10,P,7,46
8904,2013-06-10,P,12,80
20144,2013-06-10,P,12,80
32719,2013-06-10,P,9,60
33981,2013-06-10,P,10,66
33982,2013-06-10,P,12,80
33983,2013-06-10,P,10,66
33984,2013-06-10,P,12,80
32861,2013-06-10,P,11,73
33985,2013-06-10,P,8,53
33986,2013-06-10,P,8,53
32708,2013-06-10,A,0,0
0,2013-06-10,P,12,80
16863,2013-04-12,P,0,0
9076,2013-04-12,P,1,49
29442,2013-04-12,P,1,49
32746,2013-04-12,P,1,49
27189,2013-04-12,P,1,49
15586,2013-04-12,P,0,0
9181,2013-04-12,P,1,49
32704,2013-04-12,P,0,0
27410,2013-04-12,P,1,49
27481,2013-04-12,P,1,49
32794,2013-04-12,P,1,49
22034,2013-04-12,P,0,0
33977,2013-04-12,A,0,0
33978,2013-04-12,P,0,0
27197,2013-04-12,P,1,49
9097,2013-04-12,P,1,49
33979,2013-04-12,P,0,0
33980,2013-04-12,P,0,0
26392,2013-04-12,P,1,49
33987,2013-04-12,P,0,0
32714,2013-04-12,P,1,49
21843,2013-04-12,P,0,0
27208,2013-04-12,P,1,49
32712,2013-04-12,P,0,0
27997,2013-04-12,P,1,49
8904,2013-04-12,P,1,49
20144,2013-04-12,P,1,49
32719,2013-04-12,A,0,0
33981,2013-04-12,P,1,49
33982,2013-04-12,P,0,0
33983,2013-04-12,P,1,49
33984,2013-04-12,P,0,0
32861,2013-04-12,P,0,0
33985,2013-04-12,P,0,0
33986,2013-04-12,A,0,0
32708,2013-04-12,A,0,0
0,2013-04-12,P,0,0
16863,2013-05-13,P,6,36
9076,2013-05-13,P,12,73
29442,2013-05-13,P,12,73
32746,2013-05-13,P,11,67
27189,2013-05-13,P,12,73
15586,2013-05-13,P,6,36
9181,2013-05-13,P,11,67
32704,2013-05-13,P,12,73
27410,2013-05-13,P,11,67
27481,2013-05-13,P,11,67
32794,2013-05-13,P,12,73
22034,2013-05-13,P,13,79
33977,2013-05-13,P,13,79
33978,2013-05-13,P,12,73
27197,2013-05-13,P,11,67
9097,2013-05-13,P,12,73
33979,2013-05-13,P,12,73
33980,2013-05-13,P,11,67
26392,2013-05-13,P,12,73
33987,2013-05-13,P,12,73
32714,2013-05-13,P,13,79
21843,2013-05-13,P,13,79
27208,2013-05-13,P,11,67
32712,2013-05-13,P,13,79
27997,2013-05-13,P,12,73
8904,2013-05-13,P,13,79
20144,2013-05-13,P,12,73
32719,2013-05-13,P,1,6
33981,2013-05-13,P,12,73
33982,2013-05-13,P,13,79
33983,2013-05-13,P,12,73
33984,2013-05-13,P,13,79
32861,2013-05-13,P,12,73
33985,2013-05-13,P,13,79
33986,2013-05-13,P,12,73
32708,2013-05-13,A,0,0
0,2013-05-13,P,12,73
16863,2013-06-14,A,0,0
9076,2013-06-14,P,0,0
29442,2013-06-14,P,0,0
32746,2013-06-14,P,1,49
27189,2013-06-14,P,1,49
15586,2013-06-14,P,0,0
9181,2013-06-14,P,1,49
32704,2013-06-14,P,0,0
27410,2013-06-14,P,0,0
27481,2013-06-14,A,0,0
32794,2013-06-14,P,1,49
22034,2013-06-14,P,0,0
33977,2013-06-14,P,1,49
33978,2013-06-14,P,0,0
27197,2013-06-14,P,1,49
9097,2013-06-14,P,1,49
33979,2013-06-14,A,0,0
33980,2013-06-14,P,0,0
26392,2013-06-14,A,0,0
33987,2013-06-14,P,1,49
32714,2013-06-14,P,0,0
21843,2013-06-14,P,0,0
27208,2013-06-14,P,0,0
32712,2013-06-14,P,0,0
27997,2013-06-14,P,1,49
8904,2013-06-14,P,1,49
20144,2013-06-14,P,1,49
32719,2013-06-14,P,1,49
33981,2013-06-14,P,1,49
33982,2013-06-14,P,1,49
33983,2013-06-14,P,1,49
33984,2013-06-14,A,0,0
32861,2013-06-14,P,0,0
33985,2013-06-14,P,0,0
33986,2013-06-14,A,0,0
32708,2013-06-14,P,1,49
0,2013-06-14,A,0,0
16863,2013-04-15,A,0,0
9076,2013-04-15,P,4,36
29442,2013-04-15,P,8,72
32746,2013-04-15,P,8,72
27189,2013-04-15,P,7,63
15586,2013-04-15,P,8,72
9181,2013-04-15,P,6,54
32704,2013-04-15,P,5,45
27410,2013-04-15,P,7,63
27481,2013-04-15,P,8,72
32794,2013-04-15,P,7,63
22034,2013-04-15,P,7,63
33977,2013-04-15,P,8,72
33978,2013-04-15,P,8,72
27197,2013-04-15,P,7,63
9097,2013-04-15,P,7,63
33979,2013-04-15,P,3,27
33980,2013-04-15,P,7,63
26392,2013-04-15,P,7,63
33987,2013-04-15,P,4,36
32714,2013-04-15,P,7,63
21843,2013-04-15,P,8,72
27208,2013-04-15,P,8,72
32712,2013-04-15,P,9,81
27997,2013-04-15,P,8,72
8904,2013-04-15,P,9,81
20144,2013-04-15,P,8,72
32719,2013-04-15,P,2,18
33981,2013-04-15,P,3,27
33982,2013-04-15,P,7,63
33983,2013-04-15,P,8,72
33984,2013-04-15,P,6,54
32861,2013-04-15,P,6,54
33985,2013-04-15,P,7,63
33986,2013-04-15,P,6,54
32708,2013-04-15,P,7,63
0,2013-04-15,P,8,72
16863,2013-05-17,A,0,0
9076,2013-05-17,P,0,0
29442,2013-05-17,P,1,49
32746,2013-05-17,P,0,0
27189,2013-05-17,A,0,0
15586,2013-05-17,P,0,0
9181,2013-05-17,A,0,0
32704,2013-05-17,P,1,49
27410,2013-05-17,P,0,0
27481,2013-05-17,P,1,49
32794,2013-05-17,P,1,49
22034,2013-05-17,P,1,49
33977,2013-05-17,P,1,49
33978,2013-05-17,P,1,49
27197,2013-05-17,P,0,0
9097,2013-05-17,P,1,49
33979,2013-05-17,A,0,0
33980,2013-05-17,P,1,49
26392,2013-05-17,P,1,49
33987,2013-05-17,P,0,0
32714,2013-05-17,P,1,49
21843,2013-05-17,P,1,49
27208,2013-05-17,P,1,49
32712,2013-05-17,A,0,0
27997,2013-05-17,P,1,49
8904,2013-05-17,P,1,49
20144,2013-05-17,P,1,49
32719,2013-05-17,A,0,0
33981,2013-05-17,P,0,0
33982,2013-05-17,P,1,49
33983,2013-05-17,P,1,49
33984,2013-05-17,P,1,49
32861,2013-05-17,P,0,0
33985,2013-05-17,P,1,49
33986,2013-05-17,P,1,49
32708,2013-05-17,A,0,0
0,2013-05-17,P,1,49
16863,2013-06-17,P,0,0
9076,2013-06-17,P,2,48
29442,2013-06-17,P,3,72
32746,2013-06-17,P,2,48
27189,2013-06-17,P,2,48
15586,2013-06-17,P,0,0
9181,2013-06-17,P,1,24
32704,2013-06-17,P,2,48
27410,2013-06-17,P,3,72
27481,2013-06-17,P,3,72
32794,2013-06-17,P,3,72
22034,2013-06-17,P,3,72
33977,2013-06-17,P,3,72
33978,2013-06-17,P,3,72
27197,2013-06-17,P,3,72
9097,2013-06-17,A,0,0
33979,2013-06-17,P,0,0
33980,2013-06-17,P,2,48
26392,2013-06-17,P,0,0
33987,2013-06-17,P,3,72
32714,2013-06-17,P,3,72
21843,2013-06-17,P,1,24
27208,2013-06-17,P,3,72
32712,2013-06-17,P,3,72
27997,2013-06-17,P,1,24
8904,2013-06-17,P,3,72
20144,2013-06-17,P,0,0
32719,2013-06-17,P,1,24
33981,2013-06-17,P,2,48
33982,2013-06-17,P,2,48
33983,2013-06-17,A,0,0
33984,2013-06-17,P,2,48
32861,2013-06-17,P,2,48
33985,2013-06-17,P,3,72
33986,2013-06-17,P,0,0
32708,2013-06-17,P,0,0
0,2013-06-17,P,3,72
16863,2013-06-18,A,0,0
9076,2013-06-18,P,0,0
29442,2013-06-18,P,0,0
32746,2013-06-18,P,0,0
27189,2013-06-18,P,0,0
15586,2013-06-18,P,0,0
9181,2013-06-18,P,0,0
32704,2013-06-18,P,0,0
27410,2013-06-18,P,0,0
27481,2013-06-18,A,0,0
32794,2013-06-18,A,0,0
22034,2013-06-18,A,0,0
33977,2013-06-18,A,0,0
33978,2013-06-18,P,0,0
27197,2013-06-18,P,0,0
9097,2013-06-18,A,0,0
33979,2013-06-18,P,0,0
33980,2013-06-18,P,0,0
26392,2013-06-18,A,0,0
33987,2013-06-18,P,0,0
32714,2013-06-18,P,0,0
21843,2013-06-18,P,0,0
27208,2013-06-18,A,0,0
32712,2013-06-18,A,0,0
27997,2013-06-18,P,0,0
8904,2013-06-18,P,0,0
20144,2013-06-18,P,0,0
32719,2013-06-18,A,0,0
33981,2013-06-18,P,0,0
33982,2013-06-18,P,0,0
33983,2013-06-18,A,0,0
33984,2013-06-18,A,0,0
32861,2013-06-18,A,0,0
33985,2013-06-18,A,0,0
33986,2013-06-18,A,0,0
32708,2013-06-18,A,0,0
0,2013-06-18,P,0,0
16863,2013-04-19,A,0,0
9076,2013-04-19,P,0,0
29442,2013-04-19,P,1,49
32746,2013-04-19,P,0,0
27189,2013-04-19,P,1,49
15586,2013-04-19,P,0,0
9181,2013-04-19,P,0,0
32704,2013-04-19,P,0,0
27410,2013-04-19,P,1,49
27481,2013-04-19,P,0,0
32794,2013-04-19,P,1,49
22034,2013-04-19,P,1,49
33977,2013-04-19,P,1,49
33978,2013-04-19,P,1,49
27197,2013-04-19,P,1,49
9097,2013-04-19,P,1,49
33979,2013-04-19,P,0,0
33980,2013-04-19,P,1,49
26392,2013-04-19,P,0,0
33987,2013-04-19,P,0,0
32714,2013-04-19,P,1,49
21843,2013-04-19,P,1,49
27208,2013-04-19,P,1,49
32712,2013-04-19,P,1,49
27997,2013-04-19,P,0,0
8904,2013-04-19,P,1,49
20144,2013-04-19,P,1,49
32719,2013-04-19,P,0,0
33981,2013-04-19,P,0,0
33982,2013-04-19,P,0,0
33983,2013-04-19,P,0,0
33984,2013-04-19,P,0,0
32861,2013-04-19,P,0,0
33985,2013-04-19,P,1,49
33986,2013-04-19,P,1,49
32708,2013-04-19,A,0,0
0,2013-04-19,P,0,0
16863,2013-06-19,A,0,0
9076,2013-06-19,P,0,0
29442,2013-06-19,P,1,49
32746,2013-06-19,P,1,49
27189,2013-06-19,P,1,49
15586,2013-06-19,P,0,0
9181,2013-06-19,P,1,49
32704,2013-06-19,P,1,49
27410,2013-06-19,P,0,0
27481,2013-06-19,P,1,49
32794,2013-06-19,P,1,49
22034,2013-06-19,P,1,49
33977,2013-06-19,P,1,49
33978,2013-06-19,P,1,49
27197,2013-06-19,P,1,49
9097,2013-06-19,P,1,49
33979,2013-06-19,P,0,0
33980,2013-06-19,P,0,0
26392,2013-06-19,P,0,0
33987,2013-06-19,P,0,0
32714,2013-06-19,P,1,49
21843,2013-06-19,P,1,49
27208,2013-06-19,P,1,49
32712,2013-06-19,P,0,0
27997,2013-06-19,P,1,49
8904,2013-06-19,P,1,49
20144,2013-06-19,P,1,49
32719,2013-06-19,P,1,49
33981,2013-06-19,P,1,49
33982,2013-06-19,P,0,0
33983,2013-06-19,P,0,0
33984,2013-06-19,P,0,0
32861,2013-06-19,P,0,0
33985,2013-06-19,P,1,49
33986,2013-06-19,P,1,49
32708,2013-06-19,P,0,0
0,2013-06-19,P,1,49
16863,2013-05-20,P,5,28
9076,2013-05-20,P,13,73
29442,2013-05-20,P,14,79
32746,2013-05-20,P,14,79
27189,2013-05-20,P,13,73
15586,2013-05-20,P,5,28
9181,2013-05-20,P,9,51
32704,2013-05-20,P,12,68
27410,2013-05-20,A,0,0
27481,2013-05-20,P,12,68
32794,2013-05-20,P,13,73
22034,2013-05-20,P,13,73
33977,2013-05-20,P,13,73
33978,2013-05-20,P,14,79
27197,2013-05-20,P,13,73
9097,2013-05-20,P,14,79
33979,2013-05-20,P,11,62
33980,2013-05-20,P,12,68
26392,2013-05-20,P,13,73
33987,2013-05-20,P,5,28
32714,2013-05-20,P,14,79
21843,2013-05-20,P,14,79
27208,2013-05-20,P,14,79
32712,2013-05-20,P,14,79
27997,2013-05-20,P,13,73
8904,2013-05-20,P,14,79
20144,2013-05-20,P,14,79
32719,2013-05-20,A,0,0
33981,2013-05-20,P,14,79
33982,2013-05-20,P,13,73
33983,2013-05-20,P,14,79
33984,2013-05-20,P,6,34
32861,2013-05-20,P,14,79
33985,2013-05-20,P,6,34
33986,2013-05-20,P,6,34
32708,2013-05-20,P,9,51
0,2013-05-20,P,13,73
16863,2013-06-20,P,131,37
9076,2013-06-20,P,136,38
29442,2013-06-20,P,137,38
32746,2013-06-20,P,136,38
27189,2013-06-20,P,136,38
15586,2013-06-20,P,134,37
9181,2013-06-20,P,134,37
32704,2013-06-20,P,135,38
27410,2013-06-20,P,136,38
27481,2013-06-20,P,135,38
32794,2013-06-20,P,137,38
22034,2013-06-20,P,137,38
33977,2013-06-20,P,137,38
33978,2013-06-20,P,135,38
27197,2013-06-20,P,137,38
9097,2013-06-20,P,136,38
33979,2013-06-20,P,133,37
33980,2013-06-20,P,135,38
26392,2013-06-20,P,135,38
33987,2013-06-20,P,132,37
32714,2013-06-20,P,135,38
21843,2013-06-20,P,136,38
27208,2013-06-20,P,137,38
32712,2013-06-20,P,137,38
27997,2013-06-20,P,131,37
8904,2013-06-20,P,137,38
20144,2013-06-20,P,136,38
32719,2013-06-20,P,137,38
33981,2013-06-20,P,136,38
33982,2013-06-20,P,137,38
33983,2013-06-20,P,136,38
33984,2013-06-20,P,136,38
32861,2013-06-20,P,132,37
33985,2013-06-20,P,137,38
33986,2013-06-20,A,0,0
32708,2013-06-20,P,133,37
0,2013-06-20,P,137,38
16863,2013-06-21,A,0,0
9076,2013-06-21,P,1,49
29442,2013-06-21,P,0,0
32746,2013-06-21,P,1,49
27189,2013-06-21,P,1,49
15586,2013-06-21,P,0,0
9181,2013-06-21,A,0,0
32704,2013-06-21,P,0,0
27410,2013-06-21,P,0,0
27481,2013-06-21,P,0,0
32794,2013-06-21,A,0,0
22034,2013-06-21,P,1,49
33977,2013-06-21,P,1,49
33978,2013-06-21,A,0,0
27197,2013-06-21,A,0,0
9097,2013-06-21,P,0,0
33979,2013-06-21,A,0,0
33980,2013-06-21,P,1,49
26392,2013-06-21,P,1,49
33987,2013-06-21,P,0,0
32714,2013-06-21,P,1,49
21843,2013-06-21,P,1,49
27208,2013-06-21,P,1,49
32712,2013-06-21,P,1,49
27997,2013-06-21,P,0,0
8904,2013-06-21,P,1,49
20144,2013-06-21,P,1,49
32719,2013-06-21,A,0,0
33981,2013-06-21,P,1,49
33982,2013-06-21,P,1,49
33983,2013-06-21,P,1,49
33984,2013-06-21,P,0,0
32861,2013-06-21,P,0,0
33985,2013-06-21,A,0,0
33986,2013-06-21,A,0,0
32708,2013-06-21,P,0,0
0,2013-06-21,P,0,0
16863,2013-04-22,P,6,34
9076,2013-04-22,P,13,73
29442,2013-04-22,P,13,73
32746,2013-04-22,P,14,79
27189,2013-04-22,P,12,68
15586,2013-04-22,P,12,68
9181,2013-04-22,P,4,22
32704,2013-04-22,P,13,73
27410,2013-04-22,P,12,68
27481,2013-04-22,P,12,68
32794,2013-04-22,P,13,73
22034,2013-04-22,P,11,62
33977,2013-04-22,P,14,79
33978,2013-04-22,P,14,79
27197,2013-04-22,P,14,79
9097,2013-04-22,P,14,79
33979,2013-04-22,P,12,68
33980,2013-04-22,P,14,79
26392,2013-04-22,P,13,73
33987,2013-04-22,P,11,62
32714,2013-04-22,P,14,79
21843,2013-04-22,P,11,62
27208,2013-04-22,P,14,79
32712,2013-04-22,P,13,73
27997,2013-04-22,P,14,79
8904,2013-04-22,P,14,79
20144,2013-04-22,P,13,73
32719,2013-04-22,P,13,73
33981,2013-04-22,P,12,68
33982,2013-04-22,P,13,73
33983,2013-04-22,P,9,51
33984,2013-04-22,P,12,68
32861,2013-04-22,P,12,68
33985,2013-04-22,P,14,79
33986,2013-04-22,P,13,73
32708,2013-04-22,P,10,56
0,2013-04-22,P,13,73
16863,2013-05-24,A,0,0
9076,2013-05-24,P,0,0
29442,2013-05-24,P,1,49
32746,2013-05-24,A,0,0
27189,2013-05-24,P,1,49
15586,2013-05-24,P,0,0
9181,2013-05-24,P,0,0
32704,2013-05-24,P,0,0
27410,2013-05-24,P,0,0
27481,2013-05-24,P,1,49
32794,2013-05-24,P,1,49
22034,2013-05-24,P,0,0
33977,2013-05-24,P,1,49
33978,2013-05-24,P,1,49
27197,2013-05-24,P,0,0
9097,2013-05-24,P,1,49
33979,2013-05-24,A,0,0
33980,2013-05-24,P,0,0
26392,2013-05-24,P,0,0
33987,2013-05-24,P,1,49
32714,2013-05-24,A,0,0
21843,2013-05-24,P,0,0
27208,2013-05-24,P,1,49
32712,2013-05-24,P,1,49
27997,2013-05-24,P,0,0
8904,2013-05-24,P,1,49
20144,2013-05-24,P,1,49
32719,2013-05-24,P,1,49
33981,2013-05-24,P,1,49
33982,2013-05-24,P,1,49
33983,2013-05-24,P,1,49
33984,2013-05-24,P,0,0
32861,2013-05-24,P,1,49
33985,2013-05-24,P,1,49
33986,2013-05-24,P,1,49
32708,2013-05-24,P,0,0
0,2013-05-24,P,1,49
16863,2013-06-24,P,3,18
9076,2013-06-24,P,12,73
29442,2013-06-24,P,13,79
32746,2013-06-24,P,13,79
27189,2013-06-24,P,13,79
15586,2013-06-24,P,7,43
9181,2013-06-24,P,12,73
32704,2013-06-24,P,7,43
27410,2013-06-24,P,12,73
27481,2013-06-24,P,11,67
32794,2013-06-24,P,13,79
22034,2013-06-24,P,13,79
33977,2013-06-24,P,13,79
33978,2013-06-24,P,9,55
27197,2013-06-24,P,13,79
9097,2013-06-24,P,13,79
33979,2013-06-24,A,0,0
33980,2013-06-24,P,11,67
26392,2013-06-24,P,12,73
33987,2013-06-24,P,9,55
32714,2013-06-24,P,9,55
21843,2013-06-24,P,13,79
27208,2013-06-24,P,12,73
32712,2013-06-24,P,13,79
27997,2013-06-24,P,7,43
8904,2013-06-24,P,13,79
20144,2013-06-24,P,5,30
32719,2013-06-24,P,2,12
33981,2013-06-24,P,12,73
33982,2013-06-24,P,12,73
33983,2013-06-24,P,13,79
33984,2013-06-24,P,12,73
32861,2013-06-24,P,8,49
33985,2013-06-24,A,0,0
33986,2013-06-24,A,0,0
32708,2013-06-24,P,6,36
0,2013-06-24,P,13,79
16863,2013-06-25,A,0,0
9076,2013-06-25,P,0,0
29442,2013-06-25,P,0,0
32746,2013-06-25,P,0,0
27189,2013-06-25,P,0,0
15586,2013-06-25,P,0,0
9181,2013-06-25,P,0,0
32704,2013-06-25,P,0,0
27410,2013-06-25,P,0,0
27481,2013-06-25,A,0,0
32794,2013-06-25,A,0,0
22034,2013-06-25,A,0,0
33977,2013-06-25,P,0,0
33978,2013-06-25,P,0,0
27197,2013-06-25,P,0,0
9097,2013-06-25,A,0,0
33979,2013-06-25,A,0,0
33980,2013-06-25,P,0,0
26392,2013-06-25,A,0,0
33987,2013-06-25,P,0,0
32714,2013-06-25,P,0,0
21843,2013-06-25,P,0,0
27208,2013-06-25,A,0,0
32712,2013-06-25,P,0,0
27997,2013-06-25,P,0,0
8904,2013-06-25,P,0,0
20144,2013-06-25,P,0,0
32719,2013-06-25,A,0,0
33981,2013-06-25,P,0,0
33982,2013-06-25,P,0,0
33983,2013-06-25,A,0,0
33984,2013-06-25,A,0,0
32861,2013-06-25,A,0,0
33985,2013-06-25,A,0,0
33986,2013-06-25,A,0,0
32708,2013-06-25,P,0,0
0,2013-06-25,P,0,0
16863,2013-04-26,A,0,0
9076,2013-04-26,P,1,49
29442,2013-04-26,P,1,49
32746,2013-04-26,P,1,49
27189,2013-04-26,P,1,49
15586,2013-04-26,P,1,49
9181,2013-04-26,P,1,49
32704,2013-04-26,P,0,0
27410,2013-04-26,P,0,0
27481,2013-04-26,P,1,49
32794,2013-04-26,P,1,49
22034,2013-04-26,P,1,49
33977,2013-04-26,P,1,49
33978,2013-04-26,P,1,49
27197,2013-04-26,P,1,49
9097,2013-04-26,P,1,49
33979,2013-04-26,P,0,0
33980,2013-04-26,P,1,49
26392,2013-04-26,A,0,0
33987,2013-04-26,A,0,0
32714,2013-04-26,P,1,49
21843,2013-04-26,P,0,0
27208,2013-04-26,P,0,0
32712,2013-04-26,P,1,49
27997,2013-04-26,P,0,0
8904,2013-04-26,P,1,49
20144,2013-04-26,P,1,49
32719,2013-04-26,P,1,49
33981,2013-04-26,P,1,49
33982,2013-04-26,P,1,49
33983,2013-04-26,P,0,0
33984,2013-04-26,P,0,0
32861,2013-04-26,A,0,0
33985,2013-04-26,P,0,0
33986,2013-04-26,A,0,0
32708,2013-04-26,P,0,0
0,2013-04-26,P,0,0
16863,2013-06-26,A,0,0
9076,2013-06-26,P,0,0
29442,2013-06-26,P,0,0
32746,2013-06-26,P,0,0
27189,2013-06-26,P,0,0
15586,2013-06-26,P,0,0
9181,2013-06-26,P,0,0
32704,2013-06-26,P,0,0
27410,2013-06-26,P,0,0
27481,2013-06-26,A,0,0
32794,2013-06-26,A,0,0
22034,2013-06-26,P,0,0
33977,2013-06-26,P,0,0
33978,2013-06-26,P,0,0
27197,2013-06-26,P,0,0
9097,2013-06-26,A,0,0
33979,2013-06-26,A,0,0
33980,2013-06-26,P,0,0
26392,2013-06-26,A,0,0
33987,2013-06-26,P,0,0
32714,2013-06-26,P,0,0
21843,2013-06-26,P,0,0
27208,2013-06-26,A,0,0
32712,2013-06-26,A,0,0
27997,2013-06-26,P,0,0
8904,2013-06-26,P,0,0
20144,2013-06-26,P,0,0
32719,2013-06-26,A,0,0
33981,2013-06-26,P,0,0
33982,2013-06-26,P,0,0
33983,2013-06-26,A,0,0
33984,2013-06-26,P,0,0
32861,2013-06-26,A,0,0
33985,2013-06-26,A,0,0
33986,2013-06-26,P,0,0
32708,2013-06-26,P,0,0
0,2013-06-26,P,0,0
16863,2013-05-27,P,5,30
9076,2013-05-27,P,12,73
29442,2013-05-27,P,13,79
32746,2013-05-27,P,13,79
27189,2013-05-27,P,11,67
15586,2013-05-27,P,12,73
9181,2013-05-27,P,12,73
32704,2013-05-27,P,11,67
27410,2013-05-27,P,12,73
27481,2013-05-27,P,11,67
32794,2013-05-27,P,12,73
22034,2013-05-27,P,13,79
33977,2013-05-27,P,12,73
33978,2013-05-27,P,13,79
27197,2013-05-27,P,13,79
9097,2013-05-27,P,13,79
33979,2013-05-27,P,2,12
33980,2013-05-27,P,10,61
26392,2013-05-27,P,13,79
33987,2013-05-27,P,0,0
32714,2013-05-27,P,13,79
21843,2013-05-27,P,11,67
27208,2013-05-27,P,13,79
32712,2013-05-27,P,13,79
27997,2013-05-27,P,13,79
8904,2013-05-27,P,13,79
20144,2013-05-27,P,13,79
32719,2013-05-27,P,6,36
33981,2013-05-27,P,12,73
33982,2013-05-27,P,13,79
33983,2013-05-27,P,11,67
33984,2013-05-27,P,13,79
32861,2013-05-27,P,13,79
33985,2013-05-27,P,12,73
33986,2013-05-27,P,6,36
32708,2013-05-27,P,8,49
0,2013-05-27,P,12,73
16863,2013-06-28,A,0,0
9076,2013-06-28,P,0,0
29442,2013-06-28,P,1,49
